name,knot_sig,dt_code,structure
16ns_01,qabcdefghijkclgjmnkfedlbopihaonmpxtnfZa7zM3zc,cKoNmlPjdfBheiaG,"Trefoil[-1/4]"
16ns_02,qabcdefghijfakgjlmcdebnoihpnmlopkRmZkZaFM5Nzc,kNiLMHoJcFaEDPgB,"Trefoil[3/4]"
16ns_03,qabcdbefghijkglmhkndcnjiopfeaomlpRmZkZanMzJzc,cJoELPiNkBgMDHaF,"Trefoil[-5/2]"
16ns_04,qabcdefgaheijkilmfhncolmpbndkjopgNPMXSa7V99-d,mOKBhAndLfCGpIjE,"Trefoil[5/3]"
16ns_05,qabcdefbghidcgjklmhinoajmnefopklpNA0utb--Z-pa,fnHpmdIkCLOgaeJb,"Trefoil[-3/5]"
16ns_06,qabcdefghijfakgjlmedcbnoihpnmlopkRmZkZaFM5Nzc,kNiMLHoJcFaEDPgB,"Trefoil[1/4]"
16ns_07,qabcdefghijkclgjmnkdeflbopihaonmpxtnfZa7zM3zc,cKoNlmPjdfBheiaG,"Trefoil[-3/4]"
16ns_08,qabcdbefghieajfiklmdcmnohgpnlkopjRmZkZanMzJzc,kNiELHoJcFaMDPgB,"Trefoil[5/2]"
16ns_09,qabcdecfghidejklmnhijbopnkaofgpmlxA0snb--Z--a,dGokNieBMfpcHJal,"Trefoil[-5/3]"
16ns_10,qabcdbefghijakhlmikecdnolmpnfgopjRzMkZaF--+-d,kOgALHbJnFpMEDiC,"Trefoil[3/5]"
