BFlg7cPOsWhDkR3ACUT599A36SE-9F2gmOqFIQudxywmIbr1GrJZwd (4,1)
CNtggErDuoMmsNsAKpNrohZVz9EVV6I-VGrtxeZg4zXoenzozkxMiU7a (5,1)
Axlg6cPCqm961M6AvQPym9EZxD+9VmrljPprvQH1CuOtwrkwbfSi (5,2)
GhCGOyaSqjzz555XXjskIYkde8cuBtdKRZ77776l3ct1puOpboWIleXIZIGwiTRQka7kh (4,1) (4,1)
BFlg7cPGsS2w+Ipz1UL091A36Sw-62DvIzqFIQudhyGu3A1iP5aD2e (2,1) (2,1)
HpCi84qzrj55jmKkIQkYYAQQcdBdlmKRZ7d0de8vpBB5d1dNfe7SZsXj4GiQtMKCGbaaGna (4,1) (5,1)
HpCiSOimmbHzbAzkIIcc7QYIstBJRB7Zdee8lm83S28dhMj1ve1KtafyZgLbqu2rdaIGWaf (4,1) (5,-1)
F-pg-ZbLuRgdcR2-xN3yD+Z76FEV9E-9RVhfMkX5HO2zNLuQgB3biQkeRWODh (2,1) (5,1)
IxKyWqSq5qXHb6PXr8rukIAIY6ktSBtKZ7dmmme8v9sfo-lgnDrmBGNf7aYDNCdwaoWmic7oj (5,1) (5,1)
GhKyaSabcCsQXPkdBssJsBBtZclJZdeeSR7777FV+QdNLbufXSio7Gqm4mer4uaj7zHia (2,1) (3,1)
IxCGOyqS4iPHXPXr0resAY6YsdJttt0tSJ7dmmm8QxNPgY9kk6tGdS4cwc2DvjZUwHtHiUlId (5,1) (5,-1)
HpKOW4iePH5PzjcQPIY6IQkell7clmSlKZ7dee8QR55ZO1lXde7SZAMy1ojo4SlGGTZSlId (5,1) (5,2)
GhKyaSyb55rkQPrkc0skcCddmt7IdCBRZ7ZZ77vVFzf3LsufXS4fyUJaeLZMYDly3URCe (4,1) (5,-2)
F-lg-cPCqSfSrHxSD+1vogF7B9-39F-93ToLKsK0NOk1WAMPm1WeN9ODrcWek (4,1) (4,-1)
GhuyaSGO4izrrPbemQYkIII6cllldBJRZ77de8RK35vi+OOprvQHlm7UWUqy1SiozTsih (3,1) (5,1)
GhKyaSyrbXrjQ5HkYIQIs7cCd8cuRZtdK7ZZ7796-KktPoufXS4SbElIjyXMRmgTlHOCg (4,1) (5,2)
E3lg+cPCqRO31MuP0NR5Q1E1DnF39+-O-hmDbs6tuLAyntP2a7M1zAvBTjL (3,1) (4,1)
IxKyqSazbXr5HXrKY6sCsZARsmBtBduSdm07d8l83hpFMuLzmvrmlUho7a1mby6Tyb2Sac4If (3,1) (5,-2)
GhKyaSazbXrbIXbKQ6cZ6AJRYc8cmtduRZ7777Q--evvYYufXS4EbElmjouaeTjr7UlId (3,1) (5,-1)
E3lg+cPCsjgZ3EWOhgN0Q9E96TN379RhUk3Qmw6tuLAyT1yYPQvkE0GIaWa (2,1) (4,1)
F-lg-cPC+OVA9AUiCgPx7x-V6nFZ7E-+4XfxosU0NOk1WAgBUztmWDmYgepbw (5,2) (5,2)
HpKyiSyb6HrjQXHQQ6cZkmmRtB777Jd0Zdm0Rl8FV1KLxMdrveZI3m3oGPMUlmaSioRgrGi (5,1) (5,-2)
JFKyySyb5jsjkQ5bRkZQ76YBC7dBuBeCem0Zduuu83+pDYgONsufXS4fyTJcjglS3ThsbiJCfwl (2,1) (4,1) (4,-1)
IxKyqSyPHbHHr8XPzIscdtmR6st0tZZR7dStmmm8U+K3kgz9dvrmloZGZTdIZEtqzOgKfI1Ud (2,1) (2,1) (5,1)
JFCWy84irbzzXjACIQcQIAAuR7dSt7B8JZlCueuu8T-Rqy3MK45bXgZo7j7DRrGigPaQYUQUljh (2,1) (4,1) (4,1)
JFCWy84irbzzXHkAA06IAScRACetBdeeS7l07luu8EpO+EXJK45bXgZo7j7j6U7TJoiU7GqEhHl (2,1) (3,1) (5,1)
HpKyiSazbXje6jKXjek8rsIYQ6Y6sltJRZ7dee8AP5oy-TQsveZI7e4oycyeAQ7zzfyv7kh (2,1) (2,1) (4,1)
IxKy4qS4i5rKPPIYs0AJRltJ7Yd7d0l0lSRlueu8-R7QYyWMbDrmlG1TimyD7SrS1GHIkeYHj (2,1) (3,1) (4,-1)
JFKyyS4qbjjHPXHAscltIYsB8lllC0JRZduueCmC8FFxHUsJepwfXSyoXjisYo7o4SJCiLzotHg (2,1) (4,1) (5,2)
KNKyGSGzHePj6HKHKcIY6AQkZcdBJCBZ7RdmueCCC8wD471Ysh6rveZI0e4o5AcoYAsyGAQAlI2Ud (2,1) (4,1) (5,-1)
JFKyySyb6HsASb6jYYkkdBJJtB7ZtBSRBSBemuuu8Q-F2CW7WiufXS4GZoiaicRQ4S1oJfaTlId (2,1) (3,1) (5,-1)
LVKyWOSq5OujzP0b6bkkcAIct7sllBZReS8luCmKKK8w9u+ckFknpDrmBGNf7m6y5c0CQGQu4Dlalma (2,1) (5,1) (5,1)
KNKy4GSqPH5XHK5XzIcRYAsJCJdZZtRJJ7deCuKCK8t7TQFGI7krxeZc4T3oGC4OeH1UrM7khyOqi (2,1) (4,1) (5,1)
IxKyyqSiXHzPjcAIQAssusK6AttZJtSZZ7d8lum829Y4pEmze6rm1IZoyowGtCie7URCYndci (2,1) (3,1) (4,1)
M3uyWSGO4ijHHXS5bYuIQcZ6stltZmZ8RZtemCKKKSSCxxf-ortPYyPprvQH1wJjhndourIz5DfuhSwaj (2,1) (5,1) (5,-1)
KNKyGSaz5XrbIjImk66cJAB7YIJKuZtJSd8ZluCCC8QZ7+IEQmdtveZI7HZoqmZUbG3SkauD3I4Ud (2,1) (5,1) (5,-2)
JFCGOyySqjb65zIcJkssACed76ACKRtJZR7lemuu8o+8W-lIguOpboWIlmlIdIWSAG4afoiQval (3,1) (3,1) (4,1)
N-Ky4Syb5rj6S5K6stYRJQQdJdBlBBJl8ZBmuuCS80088TTx93PcJnkrveZIxG7awUieeEeP1cqyiI6Gujb (2,1) (5,1) (5,2)
LVKyOSaz5XrjQKPussY6YYQk7IlRRtBJlSueCuCSKK8xn+C8XHxomvrmlUho3ckIBvZI4GaKioWo4Ui (3,1) (3,1) (3,1)
KNCG8OOW4qzrzXjcsscsISs7cJKRZ7J0tuumeCmKC89TrDz0Mi7Kxe1ozsLQ1eBHfo7Uaesbdeege (3,1) (3,1) (5,1)
