PpvyiTGO4ij9XbYrkkDckLkLY6Y6ktBJRRluC08mTSen98e97fn4gTw-toqrFIQudxaMfhCwePaQtgDcvLDpCLZa (4,1) (4,-1)
PpDGOyiT4inrjLjAs6ctIkTsl1kddtJZ77tmmuCCmT0m9efD3CD08C+QiWXrFcCGfxyw1GDbeMLKRud3bYdXjXDb (4,1) (4,1)
N-KyW4SyHj555CHbI686kdZYQttCemmCe8ZR0888KK8008-6FHLhSa95GUiMnWtUvqyQtgeNfkyqe3DrmJqb (2,1) (4,1)
QxDyq14Wq9izrL55rvsnQI6kdBlt7BBRZtCSCKu0uv9e1mnn9wVZS+GXXQjg9ojWD2DMJgBSHWitzZzIAGOcbbGGba (4,1) (5,1)
PpLyiTWybPjv5XzbAkLskn9IQcl7kd8lCumKSS0K8e1mnff9xppwi2n+cFQQkIzrecChDtZ2Xu0WANy3cMbbaUba (4,1) (5,2)
PpvyiTGOajHPjLbY5jfsQI6Q6kJBtdmTlmn8tumKSm1m9efD9XUx0OEAPMzqFIQudhyGftQOzik1LUrpuIJozbGa (5,1) (5,2)
WhMyWaU4qrjP5bAkIccgEYQQcJtle+ZZRCewefgMmnDLffT19DTT999xB1o+KlHk9tuYMUiMnWBKBpzksPjiRmsXfvigjwCxuLvJaa (2,1) (5,1) (5,1)
U3LyWTibbX5XzHbkIQYYYI6QsBJtZTJZ7ZnemCKe90vvnn11LTT19R+ejFvDt8kQxrRIywe2arbaeND3XMLuBZypXeugDbQY5a (2,1) (5,1) (5,-1)
SNDG9OOWib5izHX5X5rIDQYI9cBluSJL8d8e1SmTCLDnLffLDv9-1vt3azyo0j5ZlIANmhKQALuP8gWQAMzfbGCIzlDaZa (3,1) (3,-1) (4,1)
U3vyWTGO4WnXTP5XbkIsY11QYc7ktBlBR7Znu80TK0eDLDDvTTTL99I+IKsNxEXhmC0NOk1WfgCW6kAGCXBGfRnxOufXvdkWGa (3,1) (4,1) (5,-2)
XpMyiUazzbPr5PPjcsIYAQQYcJJZ7l8ZRmwmEmn2evnwvfnnU919fgo+9i-RhTySuzQwzDQIywCHjWBLeYcbSUChc3X0brmOu1KWPQDa (3,1) (4,-1) (5,1)
U3LyWTab5rb6HPzIQY6kRRR7YntJZfum09RmCCm901Cf1LvTLD1T972MUDOT3brDtrQIywCdChbreZDNDNDgCNfNz2zrmhecAb (3,1) (4,1) (5,1)
TVDO94qzjjQXj7QfkIBtR9Q6J76RduCK0R8l0uKK0STDLLTDDLT9-rxNv13hRfIcoli2zNnqT2ztBxc2mZnqeTrvedfJkVmb (3,1) (4,-1) (4,-1)
WhEGOyaU4aHzbQHc6j6AcRQl7cueMt0l0JCmeggU8SuLnD919Tfg299-0G999iwk2fzej9jWbwSMHcBssXztmSrkrtcNvNW0RqCIib (3,1) (4,-1) (5,2)
U3LyWWTq5qXHbA6XIkkR7YRR7YvJl0e0K809C0901SKDnTvTD1L19V7-HdQplHvkmA6Iy2apl2vrfXB2B2HgQgBrWSYkGQTgbb (3,1) (5,1) (5,-2)
U3LyWTabIXvjQXzQYIkZvJIZYkZ1ZDd0Rlmeu8000mfLDvTD11LT9VDYc7E6noQMBbQIywmWBhaue3zakutwXo6oyNfherar0a (3,1) (4,-1) (5,-1)
V-LyW4Tq54vjH51jc69LscZQJldStde8ZJ8Ru0C8en1efnD9L9T11DppREM83qsJJO8PlIzd8S42IqLgRw7G1oaqubd2Dn5mfODb (4,1) (4,1) (5,-1)
WhEGOyaU4iPz5X5XzsAtRcUttldode+ZRle+dK0SKmvffETTTf2999911QdL771AqzCbk9jWbwSweSqJfM1wCwCdLwZWziaQbgyo0a (4,1) (5,-1) (5,-1)
V-Ly4Ta5fXj6HPPI6LY6ct79LtlBCJJuuS0umnmnDu9D9LDDT1TT19TD9XZTFan4zglPkIzXfNDqyWfNIakXabeMDm0acxCxC1yb (4,1) (4,1) (5,1)
WhUyWaU4ijHP5zIcoYQYZZ7du7JRl8enfDeoKCL0ufwf+Kv9T1f2f+9V9Z6B0OZbMPYGgViYnYlqawacyGbgiMJqehWiBlcwdemjIa (5,1) (5,1) (5,2)
V-DGOy4TajHP5959XIQJY77kddutmKRR8en1u891u1CLT9n9111LT97v3VKz+5csoGzqFcCGfhyaTMbGrskh5Yk2v0Ctibebyadb (4,1) (5,1) (5,-2)
WhwyaUGO4iPXP5bJQcEuSJdmtt8dCB08eLmeweggonDv1KLLfET199D13-nR+3gGhcyck9jQsnS2jmToA2zaCUisfa4ScuqxyGHwKa (5,1) (5,1) (5,-2)
0NEyG24W4qHUXP5HEcsAQQJ+6ZdCBuCJ2mumenLCv1C9uLnD91Lo+nwMEEE7vv-Q9WLvlJtclu7Ka3z3zWfXXQrwzLDNDMtomxCYKsuMvXLW1a (5,1) (5,1) (5,-1)
WhMyaUazbXr5bMXzcwsRQY7kleuCCRK8tLevuCDD9SegL1TvT9fg+f+Fn-+cRAwnIc7uLQiMf3jWDWm3zXDMLIfXbryWaXzTvgcPBb (5,1) (5,-1) (5,2)
V-DGOy4T4iPXPj65IQ69TJdttCR7B7R81779TCK8TunDnLnTvD1119ETD4-DvPMKeMGsFcCGfRDct05OzemMk1bxZmBrdlOaRGba (5,1) (5,2) (5,-2)
U3LyWWT4qzXHX9bksccY1AtZkZfZJZTJdCKSCKe19SmvLvLDDT1T97PUQgx5lgpOoM6Iy2ajr2brC0ySzxfxyhAnuXH2qvDWDb (2,1) (2,1) (3,1) (4,1)
U3DWW94irbzjzzP5HAIkBcZQZL7le077ZTum9uTL18efDnD11T119-FSPhfTgVay098GyJzN9wswyNAhB3fx5a5wZMrlZuvXYa (2,1) (2,1) (3,1) (4,-1)
WhwyaUGO4iPXPP5zI66QIR7ct7le0Z00eUuuuK88e+eoLDf2TfU9f+9-K3Q9Pd2QheAef9jQsnCbdSDVZoA3AWCwcXjMqLsQCK0keb (2,1) (3,1) (3,-1) (5,1)
XpMyiUWWaHP5XzrQYA6cBIYQAJJJlUZdmuemESSmog9mnDL1T9f+foo+FODlDmnE1whHl1QIywePaTDQfhdrlOe2DweGXqRW9OPQaNDa (2,1) (3,1) (4,-1) (5,1)
XpEGOyiU4izXPH6X6A6IAtlmZJ87R0Z07KDKmEmE98mUvTDnUL9nggo+U9VFq3owLeRGru0NahyXfgyNDgbqCwChngereXTanot3evma (2,1) (3,1) (4,1) (5,-1)
XpMyiUaXWajjzPj+bkcskwIYclw7JRJSmoSuD8m2eDnnMTDDv1TT9fgEDVUFjNfmcj-Is3RIywuqkOmtjpIi7kudBqBgyMQsehHqnwKa (2,1) (3,1) (4,-1) (5,-1)
WhEGOyaU4iPXPj65cMQQYttdld+dE0deegff9u88KuTCfgULvD199996N2-jtT6qBsyef9jWbwCbdmzNBjJMcx1UdvAwDoQwaWeGba (2,1) (3,1) (4,1) (5,-2)
0NEyGUOW4abrz5XrIgIMoRI7cdmStBBZtCK0KEK08KTnLw1D9Tf+LoowEEE9wFZPHU9mJm0Ii55JO2jtlYAhSQjhHgyYSSra8W8gOYzQaOjbGa (2,1) (3,1) (5,1) (5,-2)
XpMyiUyb5HrjgQzIcloRIAJd7keuBSm+tLummMSmMDfnDT19nUTf+9f+9AF-oyS8IXHKEfQIywCc8UfhDOf3XkyjQ2rPsNAqudeta0Oa (2,1) (4,1) (4,1) (4,1)
XpEWi+ir5azzPPPX55jAcllRJtlCemoE8e0mm1KeTCnfn2DTng+9foo+3lUVTAPoibkhxD9GyJz35abXrVyiZ0bNuWDWZgjSeTLmfHWa (2,1) (3,1) (5,-1) (5,2)
XpMyiUyb55rjQ5jdBAc766dmRKZdTZlgno+Svv1no9C9eo+LLL911ng+-3Bl1Fm4mSdKCfQIywCcuVftSunMDwlPlv9mCgCrQGrUK0Oa (2,1) (4,1) (4,1) (5,2)
XpEWi+4irbzzj2rI6cRAkMd7QBttd07BCCumong1808KnnLvT9n+fog+D81EgUJtNUums88GyJzN9KDhyN7WtWbXzXDhm0z3zOcQfxyb (2,1) (3,1) (5,-1) (5,-2)
YxMyqUibrbPXzPzIcQQAIswBJJ0Kmu27dnvuwvvMS0uLD9991Tnwoggw+3opFRElKPaNfwvTkIzryNarmNDPX2JiyWbreTDHDbT2DefJRa (2,1) (3,1) (5,1) (5,1)
ZFMyWyUq5ywPzz25bkkkAYkRAoBBMZdCm0uSeSKSKeffnvD1T9D2DgowwE9zjx3xkNGNj7qJNUiMnWZIDqCMb2jXjMbwyjtSvveheqeqAxeb (2,1) (4,1) (5,1) (5,-1)
3-My4UazbXrbIX5UYkkBtR6gdeluK8E08lnnuSeT90829DfwgEULMMo2U2U+++N3tvVRQAulp0OmzvQIywCNaVfZPuyqdXzaauvGXoB3aXsgb3DhBHfb (2,1) (5,1) (5,1) (5,1)
ZFwyyUGO4yoHzMPbckcIAsYQIYctJZBUeueT8uDEUmLDn9991f2fgoEwwE3VSxTwuik680chh9jQsnCbZKlieWrTexy2zg8kelCMDhlRKaib (2,1) (4,1) (5,1) (5,1)
YxUyWqU4ijrHXr+X5rosAQAQY6sEtZJt2tCKC80uKeDLnv9fggw2no+v+7vv0pXmzP4THpSXlICJ8c8GiksiCwqX5wSakRzkA2DxaXbNZa (2,1) (4,1) (4,1) (5,-1)
0NMyyGUibHHEPHwAkk6cZIQcJdClSJw07tmKS0K+uvvDnL2Df+1LoggwEEEDVP6KvVxfsFgXSr0JyQfVDGCM8MvW92vIB39uerC3zLzLZwGW1a (2,1) (5,1) (5,1) (5,-1)
YxMyqUaz5XrwbIbIjkQsEQIsw+Y6kBRd0luumLCf18S1nvwE9Lfooo+f+R71Lzssu45FWVrPkIzXDWzNsXD3B2rWDgfTaMBper0kq3DhKa (2,1) (5,1) (5,2) (5,-2)
YxMyqUib5jsMPXPIsIsksRtglZluKd8J08JuvvTuE1C91nLvwg+1nowo+39C2LQzXnj6rpfSkIzriqebAWiwBaZoeR4mGSDNaqjVjuCbqb (2,1) (5,1) (5,2) (5,2)
WhEGOyaU4ajjXPbwA6cldd2IY6AteUlSmKen1CCuD1eMT19DfgUT999Fv-EODc41dm4yj9jWbwSMSQagaMXSkOjVHMzgRIjuda4Wba (3,1) (3,1) (3,1) (4,1)
WhwyaUGO4ibgMHP5b6rsI6Qct0S0RtD1eTS0CegMKeMTfLfUDD99199--3hvlibsKPdhl9jQsnS2Xe6GdcrIl0mbO2AbLOmRkgifIa (3,1) (3,1) (3,1) (4,-1)
