HpKyiSazbXrXPPjKXjmsQYIkelCdBZB7dSde8773QEWzy9ltveZI7f4DxcZrZkBThCGHgma (4,1)
IxCGOyqS4qerKz5bQctBdRQIJZlZRtemmmS77du8FFZzJaMcx6tGdSynQnWcaaBP5vGoWavka (5,1)
LVuyOSGO4ajjzPjQuQkA6Q0A7dme8RZJR0Ru0lmCKKC9-+qHZOc1s6tuLAynjn1atUqr4Gdotnuw1Ie (3,1) (5,1)
M3CWKOGbHrjQXbYcQ6YKYcld76YKBtSZuCmmKmS0KKS832d2LNBntgufrz4f0oiutevaveOmqmfgbARgg (4,1) (4,-1)
LVS0O0WO8qHjzP5XjckcYQI66YYkBJJRRRSemuCKKK8QtNgVg5fVO9cSZoiaaolGdsty4MHkcMiI4Ud (2,1) (5,1)
N-CGOy4S4i5XbYzs6KcYQ6ScBtRZdm8J78Zt8CKS000S8vT-knv6NmGI+e4alUamlo4SdIioQnZSJT7Uiol (4,1) (5,1)
LVuyOSGOqjzX5Hj65rAIQCIQ0ctRtJBJZZduSCCKKS8DrVfX+EOkf6tuLAia0UOixQhgkvgG7IQyvbc (3,1) (4,-1)
PpDGOyiT4iPXPjn9XQAIIslB7cJJdmu8BmLSuum08e9enf9N-fvLTntrJOOpboWIlyGTdHyIdv4A4IlcJgBLJOj (5,1) (5,1)
M3KyWWSq5qXHbAIktYCYC7sd7QZKJllBRZuemCKSCSS8vhZF+5zaz00fXSbEwSZHJi7qarHUfH3c7Iifk (4,1) (5,2)
OhLyaT4qjbjHbsYHcDk6cZQYcfdBJZd9dme8dLKS0K8888w3jD0UnDfXJvrmlMJHgobjbcNGgrqyWoyc7UlId (5,1) (5,-1)
N-CGOy4S4iPXPbc7IQ6mZ68ZtlduZ7JZRl88eCuKS0008Q-t3J8hbKbL+e4alw7GwvZrbnBeiEYn7wraama (5,1) (5,-2)
KN0yG8ir5azzrrP5XzsAIsIK0ctBJBBZ7leuCCuKK8FItJkFHLTRne1o7oeqYz0L3nzKhL1QGCLQb (2,1) (4,1)
OhDGOyaT4ajjzPbskYIsRI6QllCdKRdfD8JuCS0SS8e9e9V6+nPCQqcZs6tGdSynjrXqfjPv1KtzuoWUJn7kj (3,1) (4,1)
M3KyWWSq5qXHb6zIQAskZ0SAZleuZ00l8RdCeKuSKKS8TD-h4b-az00fXSbEwSZv4mJierrsHerGkgGgl (4,1) (5,-2)
M3uyWSGO4izX5PjA65jIIAclt7slZ0Zme08ZuCKSKKS8v7zPoXZdROOprvQHlmuSXGrfeoAU5wigYUGCg (4,1) (4,1)
N-Ky4SazbXj65KX5CYsk7Qsdumeeu0RJ7R8tCSC88S00C-V+JaxP4nMsveZI7GZmioOI4glP7Oue4cZsrUg (4,1) (5,-1)
M3KyWWSq5qHjHHPXXmsAQY08cZuBl7J7J7temCmKSSS8AhFACAJX410fXSbEwu7O6nbP6adE4T0maI4Ud (3,1) (5,-1)
M3uyWSGOWejzHPHXe6jcQIk7YItZRle0R77BKCKS00S8B9MP4Hmf3COprvQHdmWUinKoKCtmLglTvnwci (5,1) (5,2)
OhDya14W4qPbAQXbcDcf9YcTAdlldZRRd077tCKCK088885PlnF5lnJbQDsG7S7miA4Uws7SMbqS6EeqlHZzj (3,1) (5,2)
HpuyiSGO4aHHz55P5bkk0k86YY6kBJRZd8d8lm8FHC+bPVIK+evPgwZOumgOxu3jKTcGwAe (2,1) (2,1)
PpDWi94irbzjzzPj9jfkYIY6cllttlJlTl9duCuKS08eff9QNmz9Nf0yP75bXgZo7TKS5y4ThcPiYzMwzHZG4Ud (2,1) (3,1) (5,1)
N-KyW4SyHbY5CHrIYIQsA6uJ7kBRBJJRde8duC880S0085Y9vn9Jq3yqxeZg4j7GWiOiJG4GIoAuRygfuag (2,1) (2,1) (4,1)
PpLyiTab6rjnIPXHYHQYk9AIsttdlRZ7RZtCS8S8m10efn99lbVW306o9GufXS4oZTimdw7I2G4ixftu3w5g6Hi (2,1) (3,1) (5,-1)
QxLyqTyb5rrQXA7I76tldZIBKtCtneu9Zt1u9eLSSKS0mnn9+R9FxPXdHKkrveZIxG3cZeRmwajM4zisjUlGiAeId (2,1) (4,1) (5,1)
OhDGOyaT4iPXPjc9bcfIQYsZ6sluCKBC07R0KeLu8800e9-Q9gWM0pXik6tGdS4cgyZIfPbTGrIkXfbaMA6na (2,1) (3,1) (4,-1)
OhLyyaTibPzzbYcAsRQdS6dBKCJBR0R88df98S0KCe1e18-FFo6Ofjiwk6rm1I3TcmywbTlD3ONIGH4Itvubj (2,1) (2,1) (5,1)
RFLyyTabIbskATXjsIQcBAAnlldBvJRRZB1dmSKeff108mvvD9lj5CM3J6DDavrmlIZH7aGCiAeT7ydTkbsC3vKceUg (2,1) (5,1) (5,1)
PpLyiTyb5XrckTjLc7kt7RIJteZdSlnfStuCmeSK08e1ef9vZ7-NXGzSXrufXS4HdSdywHdG1mwPeq3IlcaIiQb (2,1) (4,1) (4,-1)
SNDGOyGT4i5XrYzsILkI9QQILQ6InttZRdmuS0C8en10unnDDD31kPfM8V+jjOOpboWIlqZIdUZyiIKrdrtgaiPAdShIi (2,1) (5,1) (5,-1)
QxLyWqTq5qjH5PzcsLYQZJlmtBB8087Slm0KSCKenT8unvv9F+-rNuvIidttxeZg4zXokc3UWkBCKolGLCgqBgzuj (2,1) (4,1) (5,-1)
PpDWi9ir5azzrrj9Xrkknt7At7ctJlJ7dCumDCm9Se1e9e97WxYXVcXy566bXgZUZbICYniSYaxnJjMDNTuT1ib (2,1) (4,1) (4,1)
OhDa9OOWib5izHHQksktdRZ7c9ZBtttmu8BenSCSe188e911pU3OAfajFEru7K5GvvBfraGnaE5nWKjLzLuUg (2,1) (3,1) (4,1)
OhvyaTGO4afbLzXX5jks6IkZA7Yl7deu0BmKKSe9008e98F-OIngZe2cx6tuLAynQreCuU4n4cuy7UfgYermf (2,1) (4,1) (5,-2)
KNCGOyGS4aHPHCXPHekckQI6Y6YktBJRR7leuCCKK8ZuBKFWTSJK+e4alwZOuyboZGvv2oZmBItfi (2,1) (2,1) (2,1)
QxDGOyqT4qnrTP5XjAscBJZdleeuBuDCJeTu0m8S0un98mn97-qVhhkH6GHJ+e4alUWGdEanlI2jOjdT7OBe7GIGd (2,1) (5,1) (5,2)
QxLOyGqT4iHHrvvc6X66kIAIIlB7JZdunumuCKK0Su9ennn9Qp+XBe2NLgIIFedUioyMXGZcKIRjAyzwLv0oQI4Ud (3,1) (3,1) (5,1)
PpvyiTGO4inrjLP5bk6jc7Qsl7dSJtSlKZZdeuK08mf9en9DI-xLmfIl64OprvQHlmlnyIZmdgiIWObsKggfcvh (3,1) (3,1) (4,-1)
PpLyiTazbXrbkLXPXPkvIYQc7slBtBZ7lfmuCKmD0S8eff96Jxf6vwhBZQufXS4obElMBo7o0CkKgqWuAb0Dama (3,1) (3,1) (4,1)
M3uyWSGO4aHzbQHA6kBYKZSY0YcJBdm8Z0B8lmKCSSS87PN0-gPqdjPprvQH1CuOsmNCrsfqvA5S5IQjd (2,1) (3,1) (3,1)
QxLyqTyb5HrcsTPzIQcllJc7YQZttLt0lCeuK8u18efnvnn9BVtd+8hmYhRqveZItG3ogoAIdI4IWmyG3ALvJgxAa (2,1) (2,1) (5,2)
PpDGOyiT4iP5XPb6zIkn7ctZkDtRlDlTB8temm08eTef988xXFO1VrvcNOOpboWIlygyYE6uGwBSBQPQdcqvzna (2,1) (4,1) (5,2)
QxDqTOqv9ibzrz5zskIRRY7Bdlttut07JKKSunSSu188ennDR+D73sfWbjl3ve1K5eqjhafacOjUfOWHWa5QeAxTj (2,1) (5,1) (5,-2)
Qxv1q1Wq9qjPjc65PkBABYY7cttd8lCZt0BemmCu90ufnnn96H-C3fNhXqrzVa7S2aymZAMcRoZgbMMrtI0HfIama (3,1) (4,1) (4,1)
QxLyqTib6jHPjQYAtBI6dmmmmtvut1JRtvfS0CK8en90mnf9Vw-T6nMbvwdyveZIaolaiIZc7S7o2uGv2Idr4eane (3,1) (3,1) (5,-1)
QxDqTOqvLzrzHzHrjcY6IQAsBtBZ7d8ZBmuS8eD0Su1unnn9+R44JC4dm6D0ve1KLgQQfcdm7Uamiadm7mla0Lcma (3,1) (3,-1) (5,1)
RFLyyTWybPrrXzz1jskALADnZctlJ7ZR7Z7lumKKS80envvv9QtR5wQnMP1zvvrmlIyGZouoJHdPZwNE3GuSzqvbama (3,1) (4,1) (5,1)
QxLyqTabsrQXPclJlk6YQZZsvTllJZdeC8SK8KSuf900unnD--SO355O4mgqveZI4SdIaIgsevXMAyga5mOEeovbg (3,1) (4,-1) (4,-1)
QxLyqTirbXz5HjsY6zYsI6YsvJBBlun8duvu00u9enfTenn9x9H7nW21HuRyveZIWe4b4OZgbwOnXrPPvvySZc0kh (3,1) (4,1) (5,2)
PpLyWinTinrjrPbc65HI6cZkTttBBt8BmLuK8CCeTS00ef9VB6f3co1c0g+fXSbEccJyfIWS0uAvNikz7D7Cfjh (3,1) (3,-1) (4,1)
U31GOW4aXfrXrkcZ1RJY6IZDd8Yn77870e0nDKS8mLSCfDvTLLT9T-U2d0VBuagsnFqa7SZS3IdnBOecJqjMdjdotjwvIqyAi (3,1) (4,-1) (5,-1)
SNLyGTyb5HrbkQjQzIAA6YIddBZRt0JueKnCC00KT0eLnvLDDDFY3-jXbthDZkufXS4e4TdUlQ5mZklvivwoZIiIBGZIg (2,1) (5,2) (5,2)
RFLyWyTa5ijzHzXjAscRALBBf76sB9JJZlCDKuKSK08envvv9QhVXN6ZjsWuTDrmBGWncCRienImwH2qOcMmJjraama (3,1) (5,1) (5,2)
