RFDGOyyTajHPzf65XIAcBkB16A777JRlCfuCCDKenvf9CfDvv9-IEw6P0UfJyg0NahyXbgy0sPbgqZbgWKXoIKIsZQHa (5,1)
ZFMyWyUq5qjP5rcQ6sJIQZc7tlCZBCg0RdmmCU00DovLTLT9DoEgowoEw+-8Fii+3jBZJqeYMUiMnWZIB16QqWfVBNnsLwIKBWjQuYegudOa (3,1) (4,-1) (4,-1)
0NMyGUqb5rrQX5ctYkBJQ6dmdddmSRRK2KKuCmv1SKgLv1L+LgEowowMME+FNmZx5n5BCSkSudQIywCd8waqeaRGDwn0aWfrC2zNLGfwC2bwGa (4,1) (4,-1) (5,2)
1VMyWOUq5qjHz5XbA6jQAcRwB7RMtCe8RC111vn9SnDvUMf+TvUwogMEUMU+73pDpHqlo8iXLQPPlIzd8Syhd3cOzqRQHqui92DWnqrhaealz15a (4,1) (5,-1) (5,2)
3-MyW4Uq5qjHHzX5rcIs6ktBlKCmC8g8eCfLfvT01K9+vf+91nEw+E+EU2+2++7oFS-YHLhdSiXIEA6Iy2apl2jmOGzstlsgutzLfrIGOu0kCmzWi0ca (2,1) (2,1) (5,1) (5,1)
4hNyWaV4qrjH5bpsccNYIRBeBKtS00SZKenmmfFTS9SD999fVD1ngFwUMg3+2++2MLFBvB7lhyKjjMPPlIzd8gzNBcbHBiYQqezffJavKk72DwCZzGAH1a (2,1) (3,1) (5,1) (5,1)
4hNyaVabIscQXPXjkkcRAIQkddxZJRdhh0leFSKKmfn1vvD91f2n+ngNgV2++++6Kp7bFP0SMY94FdfOkIzXa3rqGsCMrU7atGtHmeXQX0AdeOjrQMbXqb (3,1) (4,1) (4,1) (4,1)
6xFyq34W4qHXPjcscBYcdRIl7ktxmSuxxmm9KKKC1KvVng+1vEooUMwg3+o-wxhp-VD46HU9Whv6yB0edu7Ka3z3zULsmNfYWgjuCKJYeGfddXkSf1y2DJyTDb (3,1) (4,1) (5,1) (5,1)
6xFGOyqV4iX55zskspRcJZ6BdtR7tFS8Zu8en10K9DvfoEvx3Tw+122+whVoh-ox-p7o61f7ywFLyv6GeO0NahyXArthSQ7qAmdJAbBGdaroqvaiTkdgaMeGSa (3,1) (4,1) (5,-1) (5,-1)
6xNyqVWirPHrbs-rkkshkAIIYcdtBtR7RdCuuSC0S8uDTv3fw-DoEoMwN+g-oxpp-BYVdNHMAfRXu6Z50yRIywCWbNrKz3sgydmblTDxulefCf5YAaiSbNDw5a (4,1) (4,1) (4,1) (5,1)
6xNyWqV4qrrpHXrp6Ps6IsBdtBl77tm8CeT0CC8uT1f9DvxNvEEEgwxNwU+2gphp-6k-6PfVxizzhUWy4A6Iy2aVr2rNB2faKmBsedlfaqHqa2B2fgqflSebmb (4,1) (4,1) (4,1) (5,-1)
8NNyGVyrbXHj6PHAY6YQIAtdulC7ZJh9CDS00SnowLpEgME9v2+MVEwNE-+MpFNFNx--l9Y9EuAvtHlYrgn2IQiMfVnWBhy2clmjsifTdmmSDNzUiceVmefXc2RQfb (4,1) (4,1) (4,1) (5,2)
6xNyqVyb5zkQXsRdmu3C8s1Re9KluhS9tDvLSKupfw3upwgMDwVf+L+++E2Ugphp-6x6D97DZ-4ObsiYWeQIywCWzhCMdhdXtTzwRgWUKiA0C3yauHdXbxcxBb (4,1) (5,-1) (5,2) (5,2)
8NFGOyGVqjb6XH6jAcRZ6Yc7ctmS7J-ZJ-Ben1SKD90999TvEgUo+EMN3UgN-MpxFFF9ZN5KRMvY9fEhhfXGc9jWbwCHzTPuBhIccJzODxlqepsiC3zHj2A3yrIwKa (5,1) (5,1) (5,1) (5,-2)
