WhEWa+4irzHjAk6HsssdtRdJBJduegK7B0uegv1CnfMvffM1D1199D-A3JH7nZmnYbdNheBm7SNmdUJLJqJfasYcimkGaw3mlIYci (5,1) (5,-2)
V-DGOy4T44f5vz5Xrc6IslZYldRRBJJ0tSmC89CeL0e9fvDLT11196SU3A66uOKKiDPpboWI1C6ixn5K5muD7I3kZI4qhIhrama (2,1) (4,1) (4,-1)
WhMyaUazbXrbcMXPY6cwQcRclt76IBRRdg+dK0CS0SenLDvT1L9999wNmViEn3wxHnRsveZI7e4Tyo2S2ybk0MxmdjJntycAgI0Ud (2,1) (4,1) (5,-1)
WhMyaUyb5rjQXcsBddJQ7cZQtStJdgMBemuKuC00effwLfET19T999vFwBo7xTvvImMqveZIdo7GzzhaqKBAKyiOWmBzZixUlUljh (3,1) (4,1) (4,1)
0NMyWGU4qrjPPYkscQkdRIkJ7sBBJZJeK+KweLSmnfnLLM2LT9ngwEoEE+1144xpljT+WTaKnDrmBG3i3oykNoiLcCfIzG1iRycmunzABcBPf (4,1) (4,1) (5,-1)
ZFEyy24Wy+izzM55XzQYIBtlRZB7ltde8Jd8tC8m1mfDgD2TL9fowoow+vD4pr0+R5Hb5eJENe4o7oZrJvlmicZazSlUic2brbaiZGla4ae (4,1) (5,1) (5,-1)
ZFMyWyUq5qjPPzXz2jAksA2kBJl0R0CKmunf9e+moog+9vMDT1T1DEww+-V3TeJsIgc6m1ztxeZg4zXTIHenYQ0UPH4SvfAAWUtbWI7jKCg (2,1) (2,1) (4,1) (5,1)
1VMyOUazbX5r5HXPYsQoRIIdduS2tSZKueuvnTUeffT2uDD91fowEooMMM+UwpEVPf7IKBuyUQufXS4obA7G5ebAfadsGcau4GjGzj3QQDayhma (2,1) (3,1) (5,1) (5,1)
0NUyWGU4ijrHXzcIwIg7YIkllulmKJ07dn9CC0K0SCvvTTTD1LgoMwwEEExRU2F1K1f4kojrnErKBKxG1SxutfQKdDGCvbGT2CZU7bdqzjJTe (2,1) (3,1) (5,1) (5,-2)
1VMyOUazbXj6HX5AIAIIA7QURMdKJCl8dvDKvvnff9eog+vg2TwUEMwoMM+V+17ct4dBQnomJQufXS4obUdMJC3LRjXgRDNHwHZGwLlPzIOoczl (2,1) (4,1) (5,1) (5,2)
0NwyGUGO4irPXP5XrIEcJMAddlJtltJZtKgKum0Ko9KfD99fU1vEgooEE+xVKJg7I09sdDHnu6tuLAyT0GMyhzJUggwohrsGLnuQ5UBv7QMjh (3,1) (3,1) (4,1) (5,2)
5pNyiVicIrrQXbBsQJBZdJS0KuBeLZempn3TDe+m29vg9TnFDUT+vwoo-2g-+g-n-vF324X1JKmoyMdqveZI4C7Gaw1S5a7StSsD7osHja7AIUtTlcRniwi (3,1) (4,1) (5,-1) (5,-1)
23MyWWU4qrjH55zccJQYYoRlZ2BRBBS87C0Mf20m+m9Dv+TLD2911gMEEUUE3V33XeweNTBXicttxeZg4nYokn3m4MZnuTJUGnGvlckSvDlrRTYHe (3,1) (4,-1) (4,-1) (5,-1)
23EGOyWUajHPz65X6ssBQARYEJd7tZMle0leKKe90CLD1T12o+foEMwwUUU+U8p44uK-c7D5OaZG+e4aloWaPwRMBklT4fRnIeYQrk7KlLaOic0Ud (3,1) (4,-1) (5,1) (5,-2)
3-E4+qz5ijAAA6b76P7Q6BC7+M07B078dm8m1u0SeT8eLD1T9fo+nE+MU+22EF4PtR-754tdWdofSwqSZUtGio4GJn4EMAsOZzxCWcPH6UzP4Gub4cl (3,1) (5,1) (5,1) (5,-2)
4hxyaVGO4aprbNjscltA6II6sBJ777dmSdmKKC08eTTDLf31vwowEgpMU2U++ERUVCTq6HZXTBfb44OprvQHlmlc7ctSKjZG4GavAvcO2m4U4C0SjIlHi (3,1) (5,1) (5,-1) (5,-1)
23EGOyWU4iX2wHbkYc6skZQtuBRJee0LKDvCnL1gvvfTf1wfgwo2fEMUEUU+v-8F-oeCmIKAKGJL+e4alwBUdAimJnOScqjoWqbu7cBSaIvzZI4Qb (4,1) (4,1) (4,1) (5,2)
4hNyaVirbXbI5zc3k6c7AAZchdmKZRB0emvm9CDLfh98T1TLfhowEMU2EM++++UQF243QyzJfANgLswfXSiCbcGmdzaMJLKDvbgn2iQEjcJgKTlUaqlma (4,1) (4,1) (5,1) (5,-1)
3-My4Uyb5zkQrYQsdAJJYRde7sRtllCZZteSCKSmfnfL1f+29EMoEU2+M22++VZDGSdx59Nznozycvrmlo4mdMdyiGloGHAAfSAqimyjzkJKLsfiXHk (4,1) (5,1) (5,2) (5,-2)
6x3GOW4arhrXPHPXr6sVAkZQ7QtF7ZlCuV0uCe1mvvNv9DTfUnw+ToM+2gVohhp-D5k9kD1mlvEfDeEsnFqa7SZS3IiQeGeLyodj7bZE3E5I7A6SJblr4GOHg (4,1) (5,-1) (5,2) (5,-2)
