XpEi+4qzHjbYXjQYIs86ImJ0SSRd9u07BCCmnEvn29nnonMTLTnoggg++-IR7pN3KbjiQ4SGyNDwkWDRYYz2HienDqWIGie2DRqkXqCa (5,1)
5pFyi34W4qrXP5PXjkpVQA6Y6AJBlp3lu0TnfngTevg+DUL1nV1Mg-ww+Mgp3g-+-Z5B9Pbguu5OooJd1ojWD2DgyXbTvYDiAudoAwrXQuS0AwehyqnKPqyb (3,1) (4,1) (4,-1)
7FFyy34W4qrXHPrkYjkZ6cleCBe1Ch8BNCxTC-CeTmfDVvDwE-fM+fox-2g3+ghxx--f8xq-DM-GAaDaV4qTtcCNDNbGJWbn8iDwyNBwziWU6wf3D3zxehe21Qqb (4,1) (5,1) (5,-2)
9VFGOyOV4OhPxzHAckclRZZcuCB7dDDDffTLm9mo1Sxo1LTM+fo2goEU-ohxFVpVNFN-En9V1TNuplkKfMvaKU0NahyXAo9UOgaXupTMz3HizPlmAMyklJRYQq12frJa (5,1) (5,1) (5,-1)
9VNyOVyPbHHr5PzQY6IARsBRdtdSNSlCS0ueT-S0CLnTT1vEUhMU-UpxV+g3EhVNNNF-DFv5gA1UEvy0NtyKXlQIyw8QOIDGRQ5cnGB2jWbfXQsssotYigD29mOqcXbb (2,1) (3,1) (4,1) (5,1)
+3NyWWV4qrjPHXrkcYs6cRZsBld0tSd03xCe9KSu1FffLvT91-DUM2+MEUwF3pNNVVV3-9kFd1CEuN4xzUedo0SPlIzd8g5w4MvgsfdVZgZmrdzoDlSqAQAJu1Bled02Da (2,1) (4,1) (5,1) (5,-2)
-b--FW4-ir5azzPPPXbsAIAYAd7RBJR8pen9xDLL8V9f1fEL9hF+vwwh3+V-2Vp3FFNxN3---3M5JsA1xeNgJqMK0vxpi2y2DoqqCoPgQKmmjjmnlZ6G1wrPi3dXQiBQt1jmOa (2,1) (5,1) (5,1) (5,2)
9VNyOVabIrrQVXjYQ6IIQIsRp7tSNRV3787env0K1STp9DLL2LgwEE2EMgp-2+wFNNN-Q-4DNfo5vhEyOpgV8aQIyweN7we2bNBWcxyUaTdgSMa3yTr00uf3ncLiaGba (3,1) (3,1) (3,1) (5,1)
-b--xy4VGO4i5-XXrkc6VYRsdBClSZ0lf0vuSLK8TDfEv+M1++11+xFMopVVU-FF-NVN33--F-o3ZhKFvKxsHbAo4af9jQsnCbyWbx0qSwye0gb21Ov1yOCOC2cLzvfnaGrdra (3,1) (3,1) (3,1) (5,-2)
+3NyWVyb5zXpcQ55sBZY6dSBlR0-JZlDKmu0Suf90e91x1NT11n+nEME223xFxNxVFVV-RnCzT9t+94dMNycrRLOkIzXlqChasCYBw9wzPKuqRDfcjswemD2bauPvabYba (3,1) (4,1) (5,2) (5,2)
-cabhiHbalGybchrEWWbfmzOa6YLrI0WrZhoFsPsulsaBb0vluVI9cgkGRynBgmxZaw7gUA5aUJNUEa95Z3VF72Yn6x+t-Pf47mXaQmktveZI7f4oWC4CKPdoicis2CJvWUaoWS0ywa3v1UHG4Sj (3,1) (5,1) (5,-1) (5,2)
-cabhOGbalqOGIeqE0OIdkvOmzsfmuUWrtirE8auuOtSawY0lyQaUAMmx5CHdgmBa1vRwVB7aYtNVF8aYRNVF-1FU+QWSEGk1bl5YxyqH+evPgUWSjM4mZAtTdozA7o5U7IOo3UQCcz1EBraURLi (4,1) (4,1) (4,1) (5,1)
-b--F4VO4--iHzrbkcks6zscl7IJZ7FtdmS8xmm0SSunf9CLvDL1fwEoxp-3gFVFNxN-333-F1xHqAwF6AOEVaj1dhURiQjZzGAga3a2ttIkZaySbwRsjtCllZXWD3uWc3D2Ab (4,1) (4,1) (5,2) (5,-2)
-cabh4acfgaSWHeoEi5HfiuWWPshoCYOPZiqFgTkejGKAbeLPwVI9cgmzRa66gSzXMHRMUBa31ZNoE-a+RNpG-TCv-K1Jp+r0MtuyflaL+e4alwBOOI6wlL7GdwWIJbWyXTaoXG5OfUGSfTGz5yi (4,1) (5,-1) (5,-2) (5,-2)
