F-tg-Yc9uryZ5OwAwR31k+29BoN79-1BdpTrjQIyw8cCNaikGDYijYmerfIqb (3,1) (4,1)
LVeHOW4aP8arzX5bsAIAY6Yc7klBB7RleuCuuKKK8ULdT6znbZZheXo7GZUtnZseSYI2D7M5I5wdId (2,1) (5,1) (5,1)
KNe5iP4ybHKXPjAIAcYIscJsRJdtBZRRd8luCCC8QN+e741sL8aXGystvLnWc1C5Ednzf4wzUlId (2,1) (5,1) (5,2)
KNKOW4GubzHHXXcsctlldJAJZ6IBJltd8l8tCCC86H-nVQIdA8aXo7G7juGleaUXc4bcaWU4IiQb (3,1) (4,-1) (5,2)
KNCGKOybXrjQX6zAI6Ikd7IYkltBZ7Rd87tmCuC8+yD9h3itkufrz4eWoykRKXGKmjQvbWbdOfsg (3,1) (4,-1) (5,-2)
LVuOS444arHz5X55rkAssIc7AlRJR7Zl8leCuKCK8wVCLHwMTKhTeLAhodcig6nzI4rIyRn2O6UhAi (4,1) (4,1) (4,1)
N-Ky4SabsrQXPcldsBJARZAZYZduuuC8d0lKmKCS00CVVo7CZknJcufXSyG7aGIycBrJsqcZUdKfAvTzSe (5,1) (5,1) (5,2)
QxLyqTabsrQX5bQQ6YAAstB76suJRJCm8dS08eLKm98en97Q+5GttVnJbufXSio7GGj3HAM2nWa7cdAHH7cqTYzl (2,1) (4,1) (5,1) (5,1)
OhLy4aTWW4irPXjckkQYQ6ct7BR7JtmKeSCSSC808808RVSDzif2smxxeZciU1otiiMJS4o2mlS0IxD1Gfoi (3,1) (3,1) (3,-1) (5,1)
OhLyaTyPbHHr5PrcAAAsY6ktZJleCB7dmmKKSKCS088C9B6tvzKRm+qveZIZevSdc3ecgaORShsWiNIarvTg (3,1) (3,1) (4,1) (4,-1)
RFDy9GOq5iPHXPjkAsc7QkZYRJRBdSJZlumuCCS0enfnvv9oL3Vhs6usltrxe1A4v7aiAZaYTWc6IPsivQw3PucPjf (3,1) (3,1) (4,1) (5,-2)
SNLyGTyb6HsIPXRZ7BRBdetmJSmBeKduS7mevC0mnnv9eDDD39EV1TSdGomevrmlE4SZaZIqs0aAUBEKLvTgqZI4GeTg (3,1) (5,1) (5,-1) (5,-1)
QxDq94qzrjcAPzYXrclZAQAtZlllCue87duumK08enffn9v7FrZsRc3gXzbXo7S0mKUwj7UuaHk3oAkhbGzRA4He (4,1) (4,1) (4,-1) (5,2)
SNLyGTyb6rrYPHAAAdBl7ddmeRJtBZR07mmKCKeT0m9uDvD9AVpNU1mpcDmcvrmlo4StHWmlU5o7oaAfodk3L6LWIisi (4,1) (4,1) (5,-1) (5,-1)
TVDOLOyb6XrjQPbltBJZQ66seCCCK0lue8Z0S08eLmfvDLDL9ATp+DxtsLK5qufrz4bZSdOaGtSqEdadSiEaodqZKWcauf (4,1) (5,1) (5,1) (5,2)
TVLyOTqb5rjIPPIc6XYsIclRId7BlStmeK8JC08SenvDLLLD9v1zVzQW66zJHufXSOIZoimib2G2cZqao0ntyQzwbic7of (5,1) (5,1) (5,1) (5,-2)
U3LyWTyb6zzkQjAclZYk7Q6ktRJ7BlSdu8J0K8eTm1uDLTTTL9vTNCz2P5hCJdrveZIho4oGCiMjezKkGBIPeBU1mfUaSWag (5,1) (5,1) (5,-1) (5,-1)
U3LyWTyb5zk6PPQjAcclZQQtdJlKte0uSmKufDvTmDfLfnDTTDV-ZfspldTwhQqveZItG7i4U7kaU0Olb0udbOfJkYy4UKGi (5,1) (5,2) (5,2) (5,2)
