TVDOTOOibPHzrrAckcIkAYQkd7clRDJRneK0S0SKKmnvDnLLL9w7zsH2608oWN4kIAsmWbuBGz3z2eaSSKIKKb1Hququ2Da (2,1) (4,1) (5,1)
RFvyyTGO4aHzz5PX5bkkAQA9k7ctBvJZZRdmuuS8e18envvD7flAL+mrUBgj9jQsnSMXOWkWM7kAGnPdmdoIG1IO21a (3,1) (3,-1) (4,1)
WhMyaUWybPr5zHkQ6cJYAtBtKeUK8dCuD98C1mfD00SeELT199919v9-pX2RbmsdnQQkIzredChAgBgZgCTR2JkefbUziS2cGfgyb (4,1) (5,1) (5,1)
WhMyaUWybgHr5zboIs6AAZA7dtlKBZtueK8JC8ennDfvLnT1L9999w7AA+MxsPjIL2QkIzreX5wAkHWeVH0yZBgHwPWj2zNf31qCa (4,1) (5,-1) (5,-1)
YxMyqUijrbPr5HQcAsJI7slmJuCt0Z7t+8CeLueDLnDvwL9T1fo+fo+11N6p5xMinMavTQIywCLmWdhdGZgdhbwqbIgJmftQKjvKiaTSa (5,1) (5,2) (5,-2)
YxMyqUabsEsQXrlBZluCRASl7IS0dCSRdfuv+SCK8mfvD1D19f2noo+w-YFSVSVrIbZYaQIyweNDqyW5WbRDheUsYfxyiJwOSKGn3nrCa (3,1) (3,1) (4,-1) (5,1)
ZFE4y+a5ajrXPjcQ5b6sJZ6lJ0Sl9CUuvLDSKKDL9TfgDoggET119vwE-7EZRUKqtrG5jI7dIfhCXnRzqmgOkCqBVLQrVyTBQfqCXzR1ieb (3,1) (3,1) (5,1) (5,-1)
YxEq+4qzPjbYPXHQY6A6QRYR7sB7tCmS0e8CDDT08mvTfU19fw+nwo+9RhpSMs7TqBOQ4SGyNDwnqtldGmRbbzndqeh42DNmnT0XU8KLa (3,1) (3,-1) (4,1) (5,-1)
YxEGOyqU4ajHzXHrossoIQcldlB77tRdmKueLe9SevnTDTTLf+noog+l3s9BG6YwihzvL0NahyXAYDQDGCby31wyxDR1inIaxK0ibJwkb (3,1) (4,1) (4,1) (4,-1)
YxEq+4qzjbzjXr6rsIkQ6IclJdtB7dSZtmeeuS8ugvnfvwL1ng+9no+ht94qVvFGTCoy7SGyND2KKqQlTnHPGXkI2fN7KlheWzjyLzqcb (3,1) (4,1) (4,-1) (4,-1)
ZFMyyUabArHHPXrIskAEAIAA26At7RtSl8enu00mvnffT1T9fUnwwwo+16gpFGtdrX-12dOkIzrCWRmeYH0CgTYPQeiekIMD25Izrery3Ha (3,1) (4,-1) (4,-1) (5,-1)
0NMyGUyb6PrjQ5bstAsAJRZCSKCmCdnf8tumK+K298899TngMfogowEEE9x3BYx-cdOh4mhIQiMfpCSDGDxCrGidhCgB3ImCrCneNTgCunaWa (3,1) (4,-1) (5,1) (5,-1)
ZFMyyUarbjjHXPPXjsAYs7kllZJtCS8l0mmvCMCw9u9unLT19fo+vww+w9y-TYJyAHfAoNSkIzr5ckHIO8aApukdb1IfIfmeqGGf2DbiHba (3,1) (5,1) (5,2) (5,-2)
0NUyWGU4ijrHPXjs6zIsAYc7RRKSdLuCmmLMT198vTD199vDfgMnMwEEET-+oL3QHiWm5KLgViYnYlWDGDGaKTofqeq8e6aCGBfsGDmfMcxKa (3,1) (5,-1) (5,-1) (5,2)
ZFMyyUyb5rrQX6jt7RdZIKJCm7KlLdm0uSemSu980CnDED+1Tfowgww+v-XR+VxvvqSqsLOkIzXlWBHjbdaijdVKSDjslteCs4qYaaraWba (4,1) (4,1) (4,1) (5,2)
3-My4Uyb5rjQzA6HcltRclRA76Att7UZ7d87ESK0mvfLvvL19vgEoMwU2U2+Axupw0r2707NIzuIQiMfVa3ba92DOvKnbPmfbzoreexA2X2epfbBHLa (4,1) (5,-1) (5,-1) (5,2)
