1VMyWOU4qrjH5rkkBRYcZJJSmRMZ8u0KCC9DuTM1eL1TUE+91T1nwMMwEM+-F85dDD9bOoeeY00fXSbEJSZnIj4cjTdrtkiciclu7mtO4UNiuMj (3,1) (3,-1) (4,1)
23MyWUyb5rjQPAJtscRZ2YwRBuZRBBC0dumfLTCv1E9e1vLL11owoEMEEUUE3j+RFSk9-nAcImQqveZItG7GZyiUds7sZy3zaSWQeD0AOC2e1SjIe (3,1) (4,-1) (4,-1)
4hNyaVyb5zkQPZlu0JuBmldnfKdNSdNfhCvn9S080SKfV9SfoU9DooUEM2+2++6oT4--RNNxdKaKHjufXS4GZoOD4mzuZolDKjqMeq5r0O5H4LtOGzlyg (4,1) (4,1) (5,-1)
3-My4Uyb5zkcQHQ6bltslJ7AZAlBdJJZdKSK0e9CTvvf+T19EMogM+U2+2+2+3+0MwyPq+RR2mDOcvrmlobURI3K4g4HRHByuO3oiDZzKvlAYoenhLl (4,1) (4,-1) (5,2)
7FFyNOybXXXrbQjAcBAQktdJRBm97evmmuuDCe9CF-evTL1nwEgEN2+22EVgpxpx-QV0vx-4-fIelSrk5tufrz4fuc3cRnbCiriiZgMfHzvndc4G4I7TiGJUawi (5,1) (5,1) (5,-1)
6xVyqVarbjjHzHP5X5zsY6shltxSRBSuh9mKuDCSuLn9nTnUvgEEwFwUU22+gppFTNBxoUNhXwjiJb-6uwrKBwtSqH2nOH7ajbicbmZHduNUdoZPsCksYS1Ie (2,1) (3,1) (4,-1) (5,-1)
9VFONOybXrjQjQHcYktJ6Qe8C7RmuS3T01e2Km+CTTDDTLMw2+UpEE-oxVpxFVxpNN--pp67LAVpGzcyKm+KcvrugobStPykZwPPloLO1iJoMTeIwegK5bBnNQdulsj (2,1) (3,1) (5,-1) (5,-2)
7FNyyVyb5rrAVHApt7B-QABJ0dmBxJJJK8RmuTDf9mnw+vfMU+UE22Mwwoh-ghxxFF-+WkUrd+-tAOuOPsufXS4f4TGn7a4MdDgorMeq4oryio0IJajrKgifySg (2,1) (4,1) (4,1) (5,-1)
7FF3y3Wy-qjzP5XXIIApsQ6QQBFdC7ZRReLfgv1KUD29DTv2gg+TEw2UghNgpxxx-67VNpZqbhhSa7pjCI2lWo7GaG3IRGaoZsJS1oiIOM4nNaeTHs4Qenefymg (2,1) (4,1) (4,-1) (5,1)
9VNyOVaz5XrjIHIktRRQVhelRNBD8lmnSTVT0K19eLfo21LDDULUw222UMg-oxFNFN-QwVp1v-3EWc2sXbsokvrmlUdo3I7UfUJv4Shg3meLhD0UWjBvMHio2qgI7Ul (2,1) (5,1) (5,1) (5,1)
8NNyGVazbXHx55HXHIpQIc7QdCJZRu8lL900S1Tu90DvLxM1LMUgU+2MFgVoxhFFF-w7Z-IZwxyjAsIPr9gtveZI7HZobugC2SZskmqzykziMjwIdDYcJmtHhagma (2,1) (5,1) (5,1) (5,-2)
7FNyyVyb5r5XXPbI6YQcJcBltBd7dStme0ef9CxfDpMvMDng+gg3wEEUo3EFhhxxF-+R4Nb6jtY8PvrjVsufXS4f4Dxc4y5bPq4O2o1y5fdoxuPr7bhG2U1wdGe (3,1) (3,1) (4,1) (5,1)
7FNyyVyb5rPjkQHcRIJcetCuuB7eDVBpvSKTT0CpMMMwD11TEgEgUUExw+gphxpx-2p+73KBKUoZWGHyTkufXS4e4fRG5euggoueisLIdq0S7mBe4UlMIvLT1Ue (3,1) (3,1) (4,-1) (5,1)
8NNyGVyHhXrbQ5HI-k66QYcZQsltRJpeem8B0KpnvUD+ngMT1LwUM2+gVoxF-EFpx-xT69VCaqYlRf3EMm6qveZItG7G4SMiuololnaGaoysJGiolc4U4IRUiI4Kj (3,1) (3,1) (5,1) (5,-2)
7FNyyVabszQXrlBdZJCdu8kBFV7S8dEKnKDKT0CwovDLMoUUo+1++LgFFEp-+gxxF-11V7ZVjBK2algmPbufXSio3IWGtCiUBsRMGsZcYEzyNwbeQwWUqceiNTj (3,1) (4,1) (4,1) (5,2)
8NFG-GOq5yjPHb6jsQkIkRI3RJN7tt87R0mfLK1999vDw2nU12wo2UMNNU+ohpxFFF9+FngDJmQjTRIu0j3qxe1A4u4o4aBSiq2mqUbgiIdq6UtnBzBMZEPvXHhHg (3,1) (4,1) (5,-1) (5,-2)
7FNyyVyPHbHj6bQXXHQAAh7sZ6AVdKl8tmSeS80CFvTLL1Dxw+fEMUMEUghphxxx-1Jt-tAsQRyrUZH2HpufXS4mdo7ais4SdbcnGnycdMzGAAwexE4aiHYbhma (3,1) (4,-1) (4,-1) (5,-2)
+3NyWWVq5qXHbA6YIsY3xJdZZRJJ7tZF77tu0SKm1-KDTvfM1DEM2UMwUM2gxxNFFVVFVu7TsnMnoP1VPXnez00fXSbEwmZH4GISZm7o7r0A6GWkKmZU4kjEfshsrckcj (3,1) (5,1) (5,1) (5,-1)
+3NyWVyb5zkQPQXktRJc8ZcltJJtLDvvLLSKS0pwonDE9T11LUo3FE2++223pxFNVNV-A-Fmp76tpcMwJLWLHkufXS4e4m4cZy4IdCgs2E6oMghn7UBM2HjfYfrujH4sl (4,1) (4,1) (4,-1) (5,1)
+3NyWVyb5HrjQPcIc66kZARIdKBZRZ3ZZFuKuT8mDvLL9vLT1o2-UEMoxF32hNxxFVVFVx9zGUZBGz-rS0hj5kufXS4e4DlMXg5IRLJuxfZL3eQiZu6IbHdAraaIioaUl (4,1) (4,1) (5,1) (5,-1)
8NFyG34W4qPbQPcIIJpZJQ7tdBJVBKm0ZB8t000mLT1Lv1TT1vEUM3E+U2oxFpNxF-R8UK+1iM+EO7AbwyGANe4o7odkiqdA4KGf2IZekTwTgrMMrfvjlcqe2Gywi (4,1) (4,1) (5,2) (5,2)
+3NyWWV4qrjH5rAkkkR66tu70eK0R7ZN03xvS1p+8DfE9++1fg+M+vgFo3UwFNpVVVN-T6U-FQiX+pweHuLeY00fXSbEJSZnHGlcZqOSbPlo1myz2idgycXIaczIis7og (4,1) (5,1) (5,-1) (5,-2)
-b--FGOy4V4azjYPHQsJZ6ceemuC70BKCn0LKmogv1w1MTD3TMw+NUwEM-+o-xp-x-V3V3-6-9-QlPsBScmNLavnGK+e4alwdfQcWeKadmqrzwwSAnxHaGicemhazIPu3TWsg (5,1) (5,1) (5,1) (5,2)
