3-E4MOybXrrQbYAAAsA7YYltlmSSJ708Bevmff+un2LDDnow+2DEgMw+U22E929-qH786qg8mjtHQikdNaUf1CfcRnNOGzWn0zMdwXGz1iQyTjxybOa (3,1) (4,1) (5,1)
1VMyOUyPbHHj6Pjtd7QIR7cJJC7JSZS8R8CuDLf9un1KT1TU+fowEEEMMExvp-hRZo0EhaYWlQIyw8QOIDaCe5QeHbNrrOkmHD2PMApI2DreNDb (3,1) (5,1) (5,-1)
0NMyGUyb5rjcQHcZZ6R6IRRJtJM2uKRdumTmvLCDv98fT1vLfowEgwwE+R6xUZ6h-1cecBuIQiMfVa3jalRzqD3WwjSywkb4cvjm3DLfr00ab (4,1) (4,1) (4,-1)
1VMyOUizbXjcIP6cRQA7d8Alu7duKZ70d10uCC0SSwffT+1vg2nggEMMM+6pj86-mVEaRsKrzQIywSUa3bYznDoYYmwqPSeIiCduXkRrTHYfGba (2,1) (2,1) (2,1) (5,1)
3-My4UyXbXHr5PHAsQAJAdlBtJlu8d8d0BCeSSS08envvL19ngEEMMU++22EVDrKR0D9vFCigzEIQiMfVcRBhyi6IeMzwy3lYOYjrCovqrLioXmeaWa (2,1) (2,1) (5,1) (5,1)
23EyW24W4qPXzQbYkBsRcumJBSRZZmm0+e1m1CLuL11onT9D119nwEMUUU+6WVxURVwwkIdzmqTtcCNDNbxdrySrwCRIqQmBoZMDWjerJLkzqeGba (2,1) (2,1) (4,1) (5,-1)
5pNyiVqzbXjr5H55jYQQslBdSZ0ZSlpp0KCmSeLTn9mDD1nwwwEgoUMEU2+ghF1NDX7sZ-JO4Grr1LPkIzr9cCVfa4ith0gKccpitefaayJfgyaqRm3AXDb (2,1) (5,1) (5,-1) (5,2)
6xNyqVyb5rjQ5PYcsBJ7cddtm807d1tLCvSS0n18f+uxfw3L9n+TEMMg3gp-gp-xBkV-2XAn0UqAjzmIQiMfpC2benqygWYBoaxCMzSAPJQHML29gAbyik2Ha (3,1) (3,1) (3,1) (5,-1)
4hNyaVabIrrQXb76bQYkBmBmRZSlT7luCCLfVvTuL9ffgg+9TvgpMw2U+U+++NX13E-yJnpdGhMCbQIywmW7wegmteVnhIwzj6gyhKq6WncaNbmDVtSIa (3,1) (3,1) (3,-1) (5,-1)
4hNyaVWyXPrbA5YctdFRIIYItlllJRZdpuemCuC08uD19fEggM+nUwUMM2++EV9MgmdEo-3wMmOXOQIywerC2HMvNZkSO0OcxyhnGeIAa9cWmiaGGb0Db (3,1) (4,-1) (4,-1) (4,-1)
5pNyiVyb6rjxQPQJJclhZZkSSJ7mf9uLCeu0SS1SL0CfoE91TLDwMU2+MUghh-UQ5VQ39N4yHBGiTrOkIzXbNBXz2Kcc35sCWHiHoewy2fbeLSODHDx0qCa (3,1) (4,-1) (5,1) (5,2)
6xNyqVyb5rrQHQAscltVd7ZcZtClemStxmneTK9mwgn1D9TDE2+MowMMUg-+opF3FP+pb1KZDklLhjvIQiMfVaVfuZYzNdqcMOmHq4gfxyqtkzMcXyxlwuJDb (3,1) (4,-1) (5,-1) (5,-1)
7FFy-4qzjjbIPbks7AFIRQQBxlJ0SlvKfwS1T8L0090vvUwUo2+922EMUgp-wxx-w-2p4-dvgYH6CWuk8SGyND2nqTMBwyZaScMAODjCPfJfjlbbi0wCaqrS2Da (3,1) (5,1) (5,-1) (5,-2)
5pNyiVGzbXrcIHH6sJtBZcCmRS0SJ7lFmN9DCf11mU1LEDTM9fg-E2+E2UU+g--tVDChv+fnepsyd1OkIzXCcCNLsBbCwySbactCnujbhdXiqZcKqsasdfb (4,1) (4,1) (4,-1) (5,-2)
5pNyiVyb5rrQXXcA7YIu7uut8C7B9JT9lCu99vnnfg9vg2TTLTEoN+2+2Ughp--Y+LR32A-HeGetsvOkIzXjWBrifCZXQv3GOnHLOtGvGmVcsqUDttYmZYa (4,1) (4,1) (5,2) (5,-2)
7FNyyVabszQXPXXYAksk7ctRdmmJBKZBDDfLSf1f+Dpv1D2vU1+2gV2EVwpphpx-3xZSUvTdK1kOBTNubQIywmWBrGsepjGmrar6qc3DKyVBheIP2fh8YirjPSa (4,1) (5,1) (5,-1) (5,2)
6xFq-GOWj6HPr6YYblZIsp7RtJKZe1ZupKvD8n+mfTnnDMf2vgwMwoE2U+gppp-Q-82VuJ+GnX8GdNrGUiQ1qCheGbnCGDhCaudSWecCV127GKicv8ilce3Da (4,1) (5,1) (5,-2) (5,-2)
9VFGOyOVajHPzXjkk6zsQ6stB7YtJJ7JmC8uL80S9nDT-D1TvwUpUg-oV2whhFNFN-6UXSJFMJScDSIs1LQb9jWbwCgaObgWWs2bvBYTQrHyYbwLOTqygyRz3bqdbSa (5,1) (5,1) (5,1) (5,-1)
-b--NyW4Va5ijzH5Pj6rIYQQklJ7VZRe08m8FKSS01nnvEUL12foUgFMopx-MFFpxVN33F-YExZLSdpMhmyJMblQTlIzdeUrqDpzJtlrerOmgipcGnocvRG6IfSkMvbyJ9kSa (5,1) (5,1) (5,1) (5,-2)
