9VNyOVyP-XrjQHPHYQks6clBR-clBJmCe8Z8KTLfUVpwEoMDTng+1+ghhVo-ENxFNN-xZ1TU2ybtpcN105zmdvrmlo4SdAlmBesCRfKT4CYGWS2U7ciclmlIZoifGjc (3,1) (4,-1) (5,1)
9VNyOVyb5rrQXccQFAQR7cRYcJJBuS-BenKu1eL980KLfgE2TVwoMM2+gpVxxxpFNNF7o1F1qEVADqX-vesQevrmlEbElmYwfohezy6GvoWDyOGIIU7UteAaGHWaial (3,1) (5,-1) (5,-2)
9VNyOVicQAQXr6ktZYR76d7d8dRBZBttRVhCKun1f+1f+LLTMUxUFgF2o-ENFhxNFN-Vl3N8had8H-3nP8mmavrmlIZoiskI6SNSeC7DzQrD0S4GdSun5LinuUtrwsj (4,1) (4,1) (4,1)
+3NyWVazbXrb6HXPsY6YQAJltm0dfmv0SKuS1NfoEfvLM1x21FUopp3VUE-wNNVxVFV-FLFt9Mv2EkLifJA4YQufXS4obElI5Odc2S3i0MjuvudIOTlutw5UdMBTJuQAh (4,1) (4,-1) (5,1)
-b--VyW4V4ijrHX5xc6h7AQldCttCeemKR83dT0CDD908-unL991nMUwg-UUg-EFNVFN33F3YpSunDFl66QvKdkCuJxe5g5fynXyrydLYcWejn5KamqevyZq0msmiHPmiGrUg (4,1) (5,1) (5,1)
-cabhOGbalqOGIelw8iYejraEXcglyaYPeOrMo9r0huIifIePvSs1kvRwaDbdgSxaLrRMUD581lNVF841Z3VFVuIyDUx5D-fgj08aouOprvQHlO6IdojsOM4I4mhocSgS7U7MfIJOvIeoliRHvA (2,1) (2,1) (5,1) (5,-1)
-cbbpiHbdcwibIglGy5sWjrY0XtglF6GjyjsCq5juirQwvIKRtWC5QLQvTAXIfSz0cAR2nC7cYBxpF7+beiWFVwBzRW-h3r3fgZlrlcjf9iMAX7wWg8WziIg7MBh8mdNmqmlviquQY5QcwDZDteXHa (2,1) (3,1) (5,-1) (5,-1)
-cbbpOGGfoy4aIeny4asJivOmPYMnz40XdNozcTjyqqLoHAekuRoTcMRx6YnlhTGZ4PB3oC989dOUE-cY7hqG-x9U+GjmcVu50RnzbngNwjQ5SC2bhSSzRBSDWbTfOabcVzitSyWlveqGMyNv3nn5a (2,1) (4,1) (4,1) (5,1)
-ccbxiHbcluibIglIarIdkvIKPcLlwYKzdhnEabcKWqJejSKPuNyPALkxSCjm2mD4WLZwnE98LthqE-ec8xqGbV-SzpkbDBPkvov9U4LivCfXSjobIPi5S5cWmrTRSiogIsK7q6AfUaI7ykmWyeD5bhb (2,1) (5,1) (5,1) (5,-2)
-cabhiHbalSaXdfsAubYgiC+WXIPnIcTPukpD8aciiGLivIuluYw5AMnyXCv7gTzaLDt2nAaTXBNUE++5Z3VxDW-FVuu8-vFiyXHiPkufXS4e4T4iZwOGtnODdUBCQQHGgDXGynjewv2A4maGdG (3,1) (3,1) (4,1) (4,-1)
-ccbxyHbgew4qIeky4ysejyOWbJNtDq1jLQoLcDYeOsMgjQLRw0QvR2SxYGfdMTy4eAJgVDc5PZNpF8+jmiWGc-X71+L2fXSVxxlqcIcg14frUrEbwtmgfgkyTiSlu4beaxoGTiobbQvvD4wdQjbXSjc (3,1) (3,1) (5,-1) (5,-1)
-cdbF4GHhoOyrIinCCzIfoB28zePlB0OYZlqHKnB1Wt1o5cvkA6YrJ2qE7EfR2ny9U173VF5UbeNUHd5XZxqGcfU9FV+B30CBDWiAXm4eIcoli2zNnqTMJsAPDYjNvIarihY0sh0eXk0mkSz3PwOoJqyHe (3,1) (5,1) (5,1) (5,2)
-cgb3iHbgmwybJeowWqIKkwMqHdNoymQXdipImwcuOrPeLYemxgrfBLSyYM561RCgVHRwTB40HRhVF86bCOWGeloSyXxNAw6Fv1LxiVbJ5UmjQzg0fXSbEYoim2eNCYGWv7qRbvH1o6Lfwzs0keIvnfMir4odIRg (3,1) (5,-1) (5,-1) (5,-1)
-ccbxiHbclSaXdfrACzdhjGUGbJPtK2ukLNxHgbAMSu1oztLqHQyTIfTBXELJwpH6O5RwTB8WLJhpH7+5d4VGb32--nPVpBTHy6PqkriJjufXS4GZoyzhc5SZwgmWSBTYTvedq6ExcxqGjNcJqbIkzic (4,1) (4,1) (4,-1) (5,-2)
-cebN4acfgqSWbejySWbejuGmbJfpzioIONnKa5H0itUgzIfRyQwbd3TxVCvRMSz2OrBNTB4isShpF-agu4pHchoCVQJ-75JmLhdR8drkgrMkPpboWI1Kif7CwruwdLJLiEvMZmAzdMzQAL3U4o6oZUWUYbe (4,1) (4,1) (5,-1) (5,-1)
-cebNiHbelSaXdfoC8OXemxSKHcOoB08XuOrHszIOiuOCLIeQuNicJvRyXOvZgozYMPB3UD8YLRNpD88reyqHehoCN5ND9OsV6FdZwvyLGORkufXS4e4rIGJzbHdUMowsAHsbewhzQkeIGjbH7oWL7qwLJTg (4,1) (4,-1) (5,1) (5,1)
-cfbViHbflKiHcenyOWrejpQiHIMlD+KPyisJs9P0QIICDQOPvWAvmgnzTQz7Lly3KvZgnE401RNVFa51lOWHejsC4R6wBT8BsoFxmrwdvu0ixRQiMfxjdeUcNDmSQDOzYn1WqmNHg80beSWCrAufNz2j3frCi (4,1) (5,-1) (5,-1) (5,-1)
