-chb-4GJgkuiXHeky44bKlzOmPJhmxeDuJjqFwTAvRJhHXQemzhpDK1UE-a2lMSD3U1ZwWAchgKNVIejYZhrG-cE0OrJfF-VTU-hkaxxZkw4jMssOIC8IOKjhSQjjev1gyX8I7WfHzJtLAGbMIqdS8saKmbCZdWfHbi (4,1) (4,1) (5,1)
-cibhjHbgqwqXbfoyazcfls4CXYfmye9XZMoDmbs1isihrI1juiJXQvmxiHvdwnz0qwdxoC62jCiqG-cgKyrGeroCOrKhpU9pFHJfT-flPVgxPodMbKrtxeZg4zXohoMiuqQgRMjDkAwyyzdPrK0rAf4KISRHGwWOHC4U (2,1) (3,1) (4,1) (4,-1)
-cjbp5acfgKSWbemwaXrdjtskXsLkjXOzehtHwjseltNs1c2RATQ5cxswSSPJwmF941Z2qF5iMCOoHf79JiWJinwSirKjpM8-6UV1rYUltI5UOsGmjZSgK0NahyXA0PuBanpAQXMzVBZnLzsqXrofltTcJbnTWuNJQ1suXlb (2,1) (4,1) (4,1) (5,-2)
-clbFjHbllGacfjlB4qtMoEcjQ0MrxYyAzNqJkbcfSLljrQ0SuQGfRwTylzzRLRBXYPR3VBlXfu4qEf79ZisIfdMmzsKhpQuPY33xlvpArTFD-yUbZpqIb3WaQIyweNDqyq7Wbcij0ayHycZqTaaXnWIM8U1Sc31mJYlZcXzVz1e (2,1) (5,1) (5,-1) (5,2)
-clbFjHbllSaYdfsACXthkGcrctMlzYKAPPtQwPseRrIyjIvlyOoTuLSvRInJwmy2SHRwUB80LZ3pE-8jCjXHexEe5rKjxUuPY3DLSD4w6XUp1ZTpPUggiYyeQIywCWzhmNDpzPivcZCqm34GBvuQm1qItrukasmLJi6MBsYUyke (3,1) (4,-1) (4,-1) (5,1)
-cpb-PGbplqOWHekE4WreipM88jfnw4SPZgqFgvYJjuTyHYvkvLyHA1RzUMftgUD4QLRwUF+4beOrJjnouirIetEe5ZMmzU8ztNoF+87Z3EfMkNRnsvDxGMozrr3blu0NOk1WfwCWbTJqeSvhebCMz3vHCPshlg0MIMT2bjjZHe7o1gC2HWXa (3,1) (5,-1) (5,-1) (5,2)
-clbFjHbllSObcgmu8yzdjlVyzsfmxUiAeisF+Gk1YrNmrQMTLREHJfRBXG5k2TC3O57xnFa1HB3oH9+v84qJerMuPXLlpIuPY-vVjR7Jn+BhGU4exmO0k0XlQIyw8QOIDGXkaVPglSzNvHPGrnWQdqjJjQbmaftjutBhCGDZfLd (4,1) (4,1) (4,1) (5,2)
-cmbNjHbmlWeXdfrA4idgMx00bJLpNsfAthuEafI1ktTe5kLQuQETcfTwTUHZxpC22bm3VG3e273oEfncezsJhvYCzXJktYK5sM--zLE9KFanlC3U+tweGBWmAqveZIbUdcdg7mimOf1nZUeTloZoBIGC7mioja4T7iicOztPOsbPf (4,1) (4,1) (4,-1) (5,1)
-cqbh6acfgaTWHelu4OXJitOi5YenxGcDd0mD0Wb6itPuH6ePvUMrRMTw3G+ckpCYSnRMnD3YPlOqG9e+74qHdxwC5sKmrYuztMnD+85EpFUuTJxpx0miUlGOtBBIAyJI+e4alUWSWccS0KOjcGNUcj0HbmdOLmzzgmHslavw5elA1uBfJvOuqc (4,1) (4,1) (5,1) (5,1)
-clbFjHbllG4XJhkG0WbMlASurZfoA20b1QuQmzQLRrlLTSeTuQwTchUClxEB3VB7w2ZhWLb1X7xoI7g2liqIghwS4XJjrQmPYBNV-z89IA9yR40rgBrbdM5bQIywmob2bHbJmnQKz2DweM9aC2rUbGCgclegGkdRbNuheGDberd (4,1) (4,1) (5,2) (5,2)
-cnbV5acfg0SWbenxaPPJgsMyPztoESSj0grCmzYdiwPCT6fSvVOPkLkBW6HlMmF-QDJiXMfhQJNXHcrMujWJbpUC4YMmrICzsLm-7VvR3tXoOTCSmYjCYuWy6jK0NahyXAOqTbkOsDmSMiRzWy2yhkb12CwySyWLQcLeXDraXjWqrKq (4,1) (5,1) (5,1) (5,2)
-cob3PGbolqOWHeoDQGrJiuIuzItjwSCbdgmo1WbeitLijs1QtOGbRfTw5IjJxVF0C6ehWD3ecu3oHdlA8OXFbfoKysKgrQCjZLnBU1UFvDp3DgmrMdMsim5wFdOJL+evPgwBUeU4IJgdItfMzsz7CenLw3ukHzo7ozihm1qvLIGWw7cgK (5,1) (5,1) (5,1) (5,2)
