SNDGLOybXrjQPsll7dRuZAlCmKSSSBR7euKC8mLuffDfvvD972p+-BaPiYKcvrugobSdoNbZkjclisoHcdIZIlTdTPCj (4,1) (5,-2)
WhMyyaUWa5arzX5jActRcel8ZRBdDLTueK0SmvnTT901v1vT9999+39VcTKHHqdXOThXulo3L1mHPZqin7m4aWDOjPHyv3SfHdma (2,1) (4,1) (5,-1)
XpEi+4qzjjYjYzY6cR7YIRcedJC0unn8dK9ST09f9eDLnDvTTfgg++-6ANW4KFPerbNfe7SZg4Q7zwaLT5m7m1IKzuUYU4HwwhzcId (3,1) (5,-1) (5,-2)
YxMOW4qgbQzzY6k6rskktJJtCB8RR7BCSmvDnLKDT19TTfwDLnoog+9TwFe8Vli0pCHepqSZo7O7SJeYTXkcgAzMbYUZofEdIZUez7oe (5,1) (5,2) (5,-2)
ZFEy+4qzrkcYHPXzQIBldZt7kCKC7RZZ77uTTT1011nvnM9vog+vow+-rFNcpxkptsBgWzbXo7S4aRTRnZoJGbI4awTyU7oIgWgtaavkIj (2,1) (3,1) (3,-1) (5,1)
1VMyOUGz5XrrIbcl7AAABtR6sRZdeeum8RSKK98mnTL1noM19nwgEwMME79JTHLrUC-urjngvrmlsZm3M4Utv4esrGG4mdDOnJP6sWuPnYIyUl (2,1) (3,1) (5,1) (5,-1)
23EWMOybXrXbcQzsYkJJ676BBJRDLnu8DS00S0T0envfgw1nwE+fMUMMU+1v-9-8OuWqr0iFkufrz4eWzaIdClGJsKyZa4KtMvOrzrzwG4I5S4oi (2,1) (4,1) (5,1) (5,-1)
23MyWUyb6rsrskQH6cldZIIZt7s7RZt8mevLf1mLDDT91L11f+nwEMUUU+Q-r3Dmj1SHUr8ZiufXS4GtTJgyc4axoLSGv0GhmdaQsRSqf6TeTlId (2,1) (5,1) (5,1) (5,-2)
0Ng5iP4y5HgYrAY6rBJRJlR7AK07e1lKnuSDSTS1vnfggwD9L19vEEE+o-T7oCvjSBmmJsYdedIjnGvdyfI3qXG6a7AzLgTeoabioioPzLSc (3,1) (3,1) (3,-1) (5,-1)
3-My4Uyb5XrX5PHYc7YkJYJtlB0JlennfTC80C911vUTvTLf+fwEMwMU22E95-1p4ffRbBmIUMqveZIdo7UlMWzRLbUGsLoqvOzXAuoHrQo3HRjtbf (3,1) (3,1) (4,1) (5,2)
1VMyOUabszQXrkdtRZcZAd8smuuKBe0e8JmDLT88e1mnTfo+D+vooMEM++SI-ZO3CvxIHtAavrmlIZTiSdo3G1qAQfUqcjedarffAzGOclfkIi (3,1) (4,1) (4,1) (5,-2)
3-My4Uyb5zkQXAdsJRZZtm7c0CCBJJu9S8uL1DTfTfnv9ngUv2vMUEE222+U87p1T6jJBqhrgQqveZItG7GZjjGZUlc3KiPdSWUyczbqnISaUic4Ud (3,1) (4,1) (5,1) (5,1)
23EW+GOqPj5HzQblRIQAkJtltdRBRRtemCSCS80eff9uD99vgEgooMUUU+6Ne5A5wvLF1fdjt0frTgE4TWydAjKlE2rtodkZzaU4mIj2askvriQb (3,1) (4,1) (5,-1) (5,-2)
23MyWUabszQXrldAt8l0d7ImZuJCZ7lCCuuDvTSD1ngo9LTT91vEMwUUU+w3F08xlF1fWgmPbufXSio3IWGioeKzceQLHWzgnKkJGZCYaqG5UeId (3,1) (4,-1) (5,-1) (5,2)
23EW+4qzrkYH6HYbIQJZYd0ltKBttuCKS8leennnv9CfvLL1fMUMwEUMU+VqTJDXR+7HbxlgWzbXo7S4SLvRDZM6PQseriIGDfS7G5ywvtofn6uj (3,1) (4,-1) (5,1) (5,-2)
1VEaP+4irrzbzPjIQkBstZRlBmtSJJ8lSmmfDC98evDfnDf+nwEMwwMM+Rz4+5DIpXyffYOEEqSWSZcyz3UZG0nivPElSOSqMjQfGXMQIfIcek (3,1) (4,-1) (5,2) (5,-2)
4hFaNOGbzHrbQXHQAc7Y6YZZdtJBK0SCen1SKL99DvfogoEvU911DMU2+2++Q633d3hgu6cNu20bvrugkbL7aaI1KzU7KlSJfOvZK3GRewuHM2I7UiIi (3,1) (5,1) (5,1) (5,1)
3-MOW44Mb5rzjAYQckssAYRtCSJ7dfnn0u9mKTT0vDDnnoowww+LUEUU22EV8+UuEF4bm4MrMPXde7SZUbSdGdilUZA2SOebmJUis0kjLWT7SGI3ae (3,1) (5,1) (5,-1) (5,2)
3-My4UabszQXrll6tBm7cBv80Ze1RLD8vewmMSv+uv2TUvTE1TE+122EMM+3-3QB9LxfbLyWKkqveZIbElcdkWsdIWrMM6GaiRSesjzQgRUNaeIZyg (3,1) (5,-1) (5,-1) (5,-2)
