23EW+4qzrkQX5cumC0JdZkldBv1f29neeSLKK8evgn9fvMDMUno22gwUUU++x-79pgOUZeKqmGZcID2zXrl7Mv3zZmrawaNjr1OsKdQyVcaBMYGba (4,1) (5,-1)
6xNyqVWqjPHzrbks6zcYYY6ctJlCue0muu8uLCnLfDvfETn+9vwo+2Uwh-+oxp-xhTx5QxtleAixtLo2QiMfN7MbsC3AmeNjmDgfhcXvr6MAVzWWgsiZg0iib (3,1) (5,1) (5,-2)
8NNyGVyb6rrQPHIIJdm07YcdBuZCR0S8t9mmKmnLNh9DDf2TnoEMUE2MUg-oxFFF-QVuR1BYV4lR3WbjJrOkIzXbNDqaXDMOwy2jXeNPwR2Iqeue3X0bwit7UDrCa (4,1) (5,1) (5,1)
8NNyGV4ajjHPPI65IsAZJtlKuR0ZRdeevKD0f188v9vLTDwUTg2MFEgN-UoxFpFF-v-P50T3rEodBuKgmoSkIzXmobHb1BqykYWuj8cvXfbT2ztqUmgyq0UJwenna (4,1) (5,-1) (5,-1)
6xNyqVyb55rcQX5rBQJdlllu8JSRZm1uTLTKeTewnDwwMU19+9UoEEU+gphxpx--1746rNC8WPm2GmwIQiMfVa1zGnXfhiVzVvJyIJctZYSnkCGBHzrj2zo6a (2,1) (2,1) (3,1) (4,1)
7FNyyVyb6rrQXzJBtduRsRmlZ8efuKCmDKmvCDx10efDFng+fM+DMEUU22gxxpx-JR7w6p9hE6SmScYyeQIywCWzhmXbWrRy3DvlfyWzhea5OcVDHbYcIqWqfBb (2,1) (3,1) (3,-1) (4,1)
9VNyOVyb5rjQXQAtc8tdZYsdJBKZtmvveS1SuffoE99vDU1M+9ooUUo-oFVxNNVNF-V26NDP8XlkVntbkzuIQiMfVa3beBrioHWimqdZeOMikB3BrCRn3toZGyrsKZa (2,1) (4,1) (4,1) (5,-2)
-cabh4adapCiHcelw4iYejqUqXdWoCg9HdQuCef6ejGVivsgTB3Urlwny1S9AhVxZQHtgnC6Y5RNVE-+9Z3799vDFHUiTvLwamBijEEqSXSZEYE6I5CcnZq7s0vuMjmioGvXfdItUuMfcfeWUZb (2,1) (4,1) (5,1) (5,-1)
-b--Ny4V4ajjHPPHbc6rsQIYQQctJdC8ZZ8KCCnfL9-NnMn2TT1vEo2+UUg3EpxNVF333-w3QQo-9KeZscrttBpoSkIzXmobbrOulihAPPqBoAwz3QeAsSuvxKwqUzHQqK2Da (2,1) (4,1) (5,-1) (5,-1)
8NNyGVyb5zkQXb6b6b6IslJNBttJ-tCm8un9S91vo2nLDTM2g+ngohx-2+2gxpFF--vBF4JXXaZ4HJTpdtOkIzXbNzqjfdaCXzqn0zTRUHUzqCXncjaDHml0GXQeb (3,1) (3,1) (3,-1) (4,1)
+3NyWVyHbHrcQXPYIktRdZYAtCRl1KvvD1u09Su2pLwE2Nf+noggF-U2o3MFVNxFNV-3356BAl4xI44Xav2WdQIywegC2brepCaqdDgCwe3zYaXzRbOR07kHMCw72rMyb (3,1) (4,1) (4,1) (4,1)
+3NyWVyPbHHrbQzktJYQl0lJSKKlfK9J1Sv8fUuEnDvTwTEUn+2EowEoFNxhx33VVV-+v8R-JwQxrlhfPiK0hQIywCMOIBXzWfNPOz3B2R0eqDIlk0seXv3fqIgenQ2Da (3,1) (3,-1) (5,1) (5,2)
-ccbxiHbclGaIcjcB4Gcgkq2KbtNkw4SjJqrIm9bvOwKCvY1SvQOzJMSA5Gbdhpz2UzB2TB+2TliWE-897hWG-p1-8OTPKLbl+u2If3yavrmlQWoiqtUZQtIladcOE7DKcRTQotDIiMQQnJIlcegaSe (3,1) (4,1) (4,1) (5,1)
+3NyWVyb6rrQPQYklBd0cuBRBZRnCSmgMg9S8e1VUELLD99121+wMMEE3hNhxVVVFN-3oV+ZFVuRWMsaoSYyeQIywCWzhSqz3n2XmTkzgyHfqrlvtjZ8amGvoeGTQQ2Ab (3,1) (4,-1) (4,-1) (4,-1)
-cabhiHbalSaYdgtI0WsgnB0Wb0NoyUSr0jsPwPkvkwZqvcLRwYoX6Mlz1ODdhUB5SjRgnD2YPJhWE+a+73+K7VF17g8GSk1qBImoevrmlE4CZagIdG4GaM3o7S7KdSaa0gGbja7UOwAT1u2MOb (3,1) (5,-1) (5,-1) (5,-2)
-cbbp4GGhoOyrIibDeesekoMqrIemw6eAJisOcLkLPzZovJMnA3IPkMkBTCXBNSE++5RhnE2ULBNUD8a+7hW3--4G-DpHgHyekUu3PGZcID2zdCnB2tfAdCuScQQd0SYb3kZcSyqBKAhDfkfIsaVf (3,1) (5,2) (5,2) (5,2)
-b--Ny4Vyb6rrQ5sBJBJ77d8cLSuRZZ0lCCKUMDnDL1oVTTvgwgE+E+UUgNN3pVNFV--3--+N2Vwxq2-aXcCtiJHOkIzXdNDGbXbGsMeVJgO2z1DNP0AGljaSaWLKJUBTioCb (4,1) (4,1) (4,1) (4,1)
-cabhiHbgawqXbfjyS4bKipMqbdNnG6OruPqEcbcLkwMivY1RuVALs2kzUIntgqB0Qvt3UC8Y1dOVD-+9Z3B7QRU0QFLXQslrqhsnnDrmBGNf7y4meUkjXz5SZP5Dkq7HaoKuLGjORKRIkc7Utb (4,1) (4,1) (4,1) (5,1)
-cabhiHbalSaYdftAyjcNoBUOPsLmzUm6dirE605dirImvs1juWATAwmAYIfZ2TC02P7gqB86L73oG+8573FtFLz3yPi9-I2vffjncvrmloiElo4UtgvyboWQGC7AfHZyWIWE5qhbcSLnLbjLLb (4,1) (4,1) (4,-1) (5,1)
