-cdbFiHbdlGyXqenG4GrJHuQm5cNnEe5j0gtLgwA0jqRwTIelsMgMkMSzTQbBgoBYOPBxnF5c+JhVE869lyqGcfU-p2nkUlCMxXphglmyzSMQiMf3dNDGchGoyMDrH2lu5GDxrNDxGweXmQDXDurLcLBxc (4,1) (5,-2) (5,-2)
-cfbVyrdfnyO4bfjA0aYJkuKyXcjoJ6OQJQvPqj6vkuWe96ujxUyLZwRC3AzRyrz7YTJwnE829tNpE9+fuiWHejsC4RLFpVTFsnVE4glgasHHt0Eb2zheoCoAXrUHMyJDqQQAeJKzMn2d3vudq12iusjdGbHbi (2,1) (2,1) (4,1) (5,1)
-cgb3iHbglGaIcjsy0WXflyYCjtLlw+O5ZNoEsHkePuPiX6KkuOm9AwSyYSrdMmJgNPZxVD5mc0NpHehkmiqJdlwSiX-+4Ad9Y4H0h-bR2Uim8JcufXSyG7elcdMWg5rYcKfdEejhUZn4b4o7c1I4GhfkaZURfAL (2,1) (4,1) (4,1) (5,2)
-cibhjHbilSaXdKkI0acLlAqYPZMkB445tMoF8qAthsKovAKQuOyL6fRy0QzJgmAZMPJhpE46TdyqGahkuyqJerI0OXJh3-uULolDfnRKgFUVsTqjNsufXS4f4oaAPfjGBD0UaeMm7okcjcxUZUtQAbio1iha5zufQL7c (2,1) (4,1) (5,1) (5,1)
-cibh5acfgGSWbemwaPHMirMSXYMkD64zKMtGqccjjzMQHAfoKRyLlNRw741Jhqz0gs8wXI+UPBhYFa7D04rGdjkK4qJh--V9TyS5VCrbwfmWE1biLiPpboWI1mtzZU0CuQkm5Pvnak4ybgxoaUvM4mgj7shz7SjOqSBa (3,1) (3,1) (3,-1) (5,-2)
-chb-iHbhlSaXdfro2ysKJuQGzdLlI0usJPoO+WAfPqJgD8LPvQOHRMlx20PR2Xz741BwpC3WLd4VFch+JyWIeho0yrJ-6QL-o+R0O5tg8kijfEBuIQiMfVa3bMXYD2vcrnuXzXmP5wZMbQOkKaiJy2ubaaGQaIbW0a (3,1) (3,1) (4,-1) (5,1)
-ckbxzHbguw4qIeky4ycelAYGHcilMoXzfPsFCPmeSyVIvZMnBSwTJ3QCkdougnH0QPuPpCa-bSxrI84Du4VGffoSiYKhtM8T-22-pfTsDyT5eoOqNGKe14frUrEbwZEbivOsbZrIixyxOam7q7sua6CvOkydoICqGhajOjsa (3,1) (4,1) (5,-1) (5,-2)
-ckbxjHbklCqbIejyeXrLikvsrZfmEUG5ZNnC6qYtjrJqPu1QsNCLs5SzZAvdxUB6OjtxoE+2TlxVEb-reiWHchw04rKjrM8Q2p7s5xr5QKQ2Sg3yUrkexwfXSyEXjWOxUZrJgIulwPCxG4wJU7G1yeusbZgJjPc7A3zlaaye (3,1) (5,1) (5,-1) (5,-1)
-cjbpjHbjlSaXdfsC0Grdkx4qXdMoya1jdhpCan6eRwLKPkvmB3OvZ1oEj1nt2TB+6HBOWIjb+dysJgngK4qHatEKirKhrE3-97iBDLEkHdcST7syWnvIQiMfVaVTa0KDGZmD0ywsMarBq1IjTdGLivLzGbmZGbQbrdtbQe (3,1) (5,1) (5,1) (5,2)
-cibhjHbilGybchrEWWHelvUuXcfoy0aAeirNcjYvjKOsjdzlvRKHlNSB6SbBwnE0QnBhpK78PlxUEid6dOWGelA8OrJhFZQTR3F2LlEZrapusoklJYufXS4EbUdm2iOCWnyPbgvjMIfu1GOQJSdQ4cxD4fkbifKokKgc (4,1) (4,1) (4,1) (5,-2)
-cibhjHbgqwqXbfjy8qcLjqqIHcflz0as0hKC68beOpKqz6fkA0MXA1nC2KbtNVF7OvlyoC4eYJxVE9+9ByqJfrw8isJhFV59xxnXAlfHaFVlqBKLW00fXSbEwSJorCtTWqBbiuQgXauUZcaagSziHg7mqIiOkMMTtUBc (4,1) (4,1) (4,-1) (5,-2)
-cnbV5GMhoOyXIeqG0WbfjAYq5ZLnJAYzvtuGe56KkBQoL7eowTAT62oDnFXlwnEaPrlyUE3Ao8xrJef67iXHirImjrLkvUK5sMx3U71v7s7NFojPMeAf0GjMgoli2zN9c00AoBZiuWsQ0rZzOrwJSmm7UsUD39cBcawlrRqCGbgyblb (5,1) (5,1) (5,1) (5,1)
