-cjbp5adjpCiHIfmImjIJjpEi5cNoj3Or0MKjh5XZOrHcz6ejvjz5A1RwYSfdgmC1WDd3nA3SPRhVKad6tiWKehw04XIirI8w90tf1FxupHKZ-Zifu0py48GyJzN9KzqWwawCkWIYmRMD2D2TklMXY5OlvliBTjtmrCbWGba (5,1) (5,-1)
-cpb-jHbplGaIIjnCOjdLiC64XZZmxonIZPuDi1kKiwSG5I0ttXs9I2QBU0rRgTDp55dyVG-gc03WIa91t4ZHcnIuzsKmBYuzZNoD+87tn6Vp1yDLjB+U5grdMwdMubQIywmWBryqugiUbp0OHGJosMf3b2bhYOXKkcA2rYdPBayRCxCOAtdb (3,1) (4,1) (5,-1)
-cpb-5GbpnCWWbfmC0ycKlt2ubKMmp9u6jjpM+OAekxTsnZenuZuX65mDYE5lgoCglse5tD-8b8xWJi7D8NWHchASOsLjtQ8jZMpD68U-89-RIHso-qnIdDRtuyWedu7Ka3z3zULgunXM1OAUANcKbsCs52BS42C3bgCjkKYuqpHekNz2AHDb (2,1) (2,1) (3,1) (5,-2)
-cob3jHbolGybchrEWWrgnuCgcdgsJ6GQZQrQEbtLty0m160jC30LZvlx9KvRNSzaNvtNZC4C6C3oNehgK4qKhfw8OrJlrYC5YMnB+24VD4-8+OlxTDeMQd2WaOmktveZI7f4oWGdCMoiD0u7otr3DuMrfMnvULT4O2kYmam4fzzbzarWa (2,1) (3,1) (4,-1) (5,2)
-crbpkHbgIw4Gcfoy0GIdktIOjJNpG8WX0jsDizQvjwUy9cfktZOTk6nDXKjJxVz2WLl6UDrbgD3WE-oguysLdx2ezuKpFcfkuMoD20z0-7EyTun3VJLP0X5mZIJyGXfmA6Iy2aVr2HqAKBWDN5kSOcaygefzHXgmqSiJMQQdx7waaytAkdHbieje (2,1) (4,1) (5,1) (5,1)
-crbp6GOekKqbIOnsWisuktIyrZLkG8mAdNsHCfTviwRiTILQu0sv7MkB2MLBgSC6WrtNpC64HZxuEbfkm6WJirw04sMktgvztNoD+ek011xRBOY-e77BpO1bMQewrrdDjRIOmeUasyoiZ4urJsN6KagDGDuJkRkzUZKzMkwzKsV5KDjcaupbgyre (3,1) (3,1) (5,1) (5,1)
-cqbhkHbqlCarIemAazcLhwIGjdhoC8aA0gsBk55KOqIgvYeQwQAbJfuAZKz7wSz6UbLxUD789lPsIdDo8ztOkrAm5rKjrcT5YMoFcf6---foSavvp1jK3oHBrXj1uCCyveZIzCcIaIKSZT7KkcMo5qyzlErz2ujrjA3mHben1fGn5OGHOPMvHc (3,1) (3,1) (5,-1) (5,-2)
-cqbhkHbqlSaXJjrG2qIfnu+akKfnP64zMSqQGw7ekO4YXRNVESS1I2kw9OntgmIad672WLm3DeAtEqnMezqLfp2C4rJit6uPsMmH+85+V--xf9q5+xTJyhmHa9aHrhkrveZIxG7a2miotAIfdo0OfaWoWfkTyEYGdIdAaq2yvzvsYUcIim7aGb (3,1) (4,1) (4,1) (4,1)
-csbxkHbgKkTG0eksOOHdjqOi5dgsJWSPJhtKAXYfSxHI961kz2wvJ1QEUIfBwqEaVjuiqE++1Z3VE8okvQqIijM0OYMjD+eAuNpB+mQuP-xzP23-xh6QjI4DAsMUqafoqB4xeZg4jimbTqc4SWPfqdc4I4mhfgmyzHIYbIkWvfv6L4EayNUbqXaJDk (3,1) (4,1) (5,1) (5,-1)
-cqbh6aOhoOyrIiny4WXKjw0qzJLkD+Ob0hoDcDcePsqtH6LlOSwHQfRv0CbnwUAq9Xl3nC40n8NpI-i6JyXIhtIC4rMnDU8jtOqD685FR4Z85Y3GMyo9XhJlAKBODrbNfe7SZgOIwLhoHb5S2S2fdDKiZwAcwmLacKJmBSfmkwXGPilv7MBk3c (3,1) (4,-1) (4,-1) (4,-1)
-cqbh6GbqnCWWbfoIyPseiqHEPcfnzGwYJOpRu9re0qUGAQeuy1C9YgoB0E17woG9gsK3oC4UPJ3UD88b8yqKcfw0yrJgrQCztMoF6851r9-Y-FHou2Myv5lSsaUXxiGANe4o7oZoZUOoRAJa4Sqklrdg2GyS2cQctPACjaiG1CqvyIsI7Sic0c (3,1) (4,-1) (4,-1) (5,2)
-cqbhkHbgGw4Gcfjy8qYeivUisdNoqvb9LluIwfdMmzXoHl3jO6EnR3pBTG6Y3mObRv7hXHfZLBh0Eavcu5rLblo0irJntU05tMpD285-m3-w-cU3hUwRpHrEbcjqscttxeZg4nYo6ehcZCunlS3rYofI1AXKOvzb3T7GHM5SAqcMIUkCiu5DBa (3,1) (4,-1) (5,2) (5,-2)
