nVhQMU6eBDzMV6sFcCGfNbXDh (5,1)
mNPXyU4dtD39A+lIzdKUdXqb (4,1)
jpLjlQomX8tFIQudRBa (2,1)
lFLzlQUf3u19sFIQudRj3e (5,2)
rpsgMySepi0IXAUhecV2H2ViMnWBeejsbus (2,1) (5,1)
rpoiLrSCsrLR9AWOdc-Usf9jWbwCHfqeXud (4,1) (4,-1)
sxoiLHSCKijRTCpymgHVQdx6tGdSynAPaGWai (4,1) (5,1)
p-L5lQUhFDB2B-o5sFIQudRzS1wkb (3,1) (5,-2)
rpsgMy5Owjw09Ar47bFxNPUiMnqsKDqebnq (4,1) (5,2)
sxsgYscPwnMtUKpOlgJ36nRvrmlc7mic4UjId (4,1) (5,-1)
qhsggyrDGQ2IbDS37D7XtxeZg4zXUawyO (3,1) (4,-1)
tFoiLXSCstLR9AWzukLXx7kv0NahyXfwareHDNe (5,1) (5,-1)
p-PX+60nz+B-D-1DQlIzdKU7ScXqb (2,1) (4,1)
rpoILsmEqm1I5ETgecVRxSRiQjZaQIquODh (3,1) (5,-1)
sxsggzbDsPLC5AYhmgJx9sTDrmBGWncA3H4Ud (5,1) (5,-2)
qhoGLceEsk2s1CV279QN2ve1KzqZOea0a (3,1) (4,1)
sxoiLHSOsl3tYAsymgHV+kf6tGdSia0UyTioe (5,1) (5,2)
rpsgXYbDqRyJfDpOdcF11RQiMfPKIBgartd (4,1) (4,1)
tFsgMz5Owj209AtymgLYDDDM6Iy2ajr2bre2DGc (5,1) (5,1)
rpomXZjPulwlgDp47bF1popi2y2zL7aeXqn (4,1) (5,-2)
uNsg0cAHCQht6G0y8fPZ5+FMYufXS4EbUaOJQkUlb (5,2) (5,-2)
o3LXlQomZT9M9VwsFIQudRjPPmd (3,1) (3,-1)
qhkgWcPCqjgC1yq37TRRK+evPgwtUtLlA (5,2) (5,2)
uNom0tsDqRvR1CVhnkN051oU66bXgZUZbcIJEXqyb (2,1) (3,1) (5,-1)
uNoOLcLMqm2I5AWNlkNZ5v-yvDfrn5KXuYo3v7I4a (2,1) (3,1) (5,1)
vVsg1YIHySk8vBUOCsLsk9R6RpOkIzryW5Mbaermuna (2,1) (4,1) (4,-1)
vVsgMArDQQ0QYEoyuoPsk9vRS5PlIzd8SyhCpaWDr5a (2,1) (4,1) (5,-1)
uNsggA5Owog9bBUiekPZ5+ADm1fXSbsISdIzoAOib (2,1) (4,1) (4,1)
tFogtsXyqj1IXMW3mkLYRtoN1JOwdXDhyGfredf (2,1) (3,1) (4,-1)
vVsgMArDujgB5QYyfoPsk91tQTPlIzd8S4SYaiIDt5a (2,1) (4,1) (5,1)
w3wgdBXGoi26bDr7CoTsATU+wLbpFezTzoyTla2cdK4A (2,1) (5,1) (5,1)
w3kSLJ5Kww3Y9IYh0oPuATURxxyJRe1CtUJwkSlGaIdK (2,1) (5,1) (5,-1)
tFAifZbnrtxBYGWO8bLYVwxA+Ga2zNzNjqfXn1a (2,1) (3,1) (4,1)
sxsgYY5GqsxtYEVhmgJxVlxvrmlsQI7kXzigk (2,1) (2,1) (4,1)
vVsgNAXXAnwTYAphmkNuk9QN-gOlIzbeMDgeseXDrCa (2,1) (5,1) (5,-2)
w3sg2sbLuOLY1Gp3KAN0A1+B4m11veZM4oZciSWqaIGi (2,1) (2,1) (5,1)
uNoOLcLMqk2A1GrjeoJZ57ACtDfrn5ebuRi4E3wYb (2,1) (4,1) (5,2)
vVwg1sb5AQvL9yrjSoPu681L9d6kICtCNrRzWDHfXHa (2,1) (5,1) (5,2)
w3sggBbPwi1Y1IVimANuBT+wEQDyxeZgiCYIWavKlHdU (3,1) (3,1) (3,1)
uNsg0Y5GqlfB1AuinkNZ51vBEvfXSiPkE7GiU7UYb (3,1) (3,1) (4,1)
sxkgYcPGsSMRXwoOmgLF5nd6tuLA4adG7Agzd (2,1) (3,1) (5,2)
vVoiLrTOsl3RbLukfgNZA9-gwSqFcCGf3D3fwbXbZKa (3,1) (3,1) (5,-1)
vVsg1IXGyvLRTy1hmkNuk9Qh-uRkIzrCdChDtYme3Da (3,1) (3,1) (5,1)
uNkOJrXOsnkRrFohmkNZ51F2iIBbr0G3oWOiU7UYb (3,1) (3,-1) (4,1)
rpkgXcPCqS26fBThmcVFgj9jQsnSMrPiTCt (2,1) (2,1) (5,2)
