uNkg0cPCqm661Is4JsLt68+nRiPprvQH1muyRg3Ge (4,1)
sxkgYcPCKiPA1GXOekHX-dsx6tuLAynNEcPAu (2,1)
w3oiLHTCqSLZ1SnRvgTtATwV60FIK+e4alwZmcKgaaada (5,1)
tFkgZcPCqUwZnDZgCgNs5x-dK0NOk1WAgic1Qjj (3,1)
yhtg4Yc9A4ie-A0igwRu7LIV3VUhFTevrmlEbQ7iqcye2UMC (2,1) (4,1)
vVkg1cPCQOQITGp4tkNuAT+6wy5sFIQudRzklVlRQKc (2,1) (2,1)
Axp0LIwFsOLA9CYOws1ZPTEX5C+QFEmYYDfrnzobucKtuwr7cama (3,1) (5,-1)
x-kg3cPGsS2fgFXhnEN3A1ET37tlMb9jQsnCGbKqPAbYg0a (2,1) (5,2)
CNtggE5Ouj2Cc5sjKtPy7DRZznNV-3j+xattxeZg4nYozLPCNuHbrvAc (3,1) (4,-1)
zplg5cPCqj2YXCWiCMR5Q9IX58phpAvL0NOk1WAYDQ1qO2mtls (4,1) (5,-2)
F-piLXVC+OpB9GVO8l-yR9Y17C3V5E-xFz8HmfU0NahyXAuBaWQASqxy3frCb (5,1) (5,1)
Axtg6YsJCQOU90APnET2AfNR3C+RFxzPoufXS4e4TiswbdsZUdkh (4,1) (5,2)
Axlg6cPCspNu7QunuBZA61MZxm+-LE5cOOprvQHlaiIiS1IrUZKl (3,1) (5,1)
yhlg4cPCqSfS9OymLgJtC1IV3T7Fsjs6tuLAynZuMnZSen1s (3,1) (5,2)
zppiLrUGsSwUbJUxoMZtA1EXy8vNxNzg0NahyXbgacnPkrCxeh (2,1) (5,1)
CNpgCZXWpjgNXEWxeo5xlVIZ69ERFvpf3sJENe4o7odU4G4mamZUaIJb (5,1) (5,-1)
BFtg7cAHCXhZj3qzDlT09nNZBSwVVz3BgvPkIzXDcCgmprrf3z3brd (5,1) (5,2)
BFtgMDbDsPfB5IBQCVV1R9UXzTwF1-hcMQTlIzdeUrGBfHOuarqC3b (5,1) (5,-2)
BFtg7YAJCSM69A7j9oN4TnB3ATo-U7OXUBOkIzXbNl2jWm2Dxaiehc (4,1) (5,1)
zppiLrUCsnxUXyVCCMPuBnFXy81ZZ0wu0NahyXfmYkCiCY72vo (3,1) (4,1)
AxpiLHUCsnTRP1pDuoRu7TIV3CE3AFrNOOpboWIlyGTfrvUlCYHe (4,1) (4,1)
BFpgBZXCuRnZ52nhmo3x7UIZxTwFRxmLVrTtcCNDNroXOrGaVdaega (4,1) (5,-1)
AxpiLHUC0jDR1EoPSALun2AZyD+9Cvoz4OpboWIlmloiU7U1ihqe (4,1) (4,-1)
yhlg4cPCqSfe3WsyvANxkTIV4-Rk3is6tuLAyndf2KBDzLvs (3,1) (5,-2)
DVpiLrVC6OUA9AUyhg7t61IZADEZ5BpJzDJKl9jWbwSMXMJM8QHSWeTi0a (5,2) (5,2)
DVpiLrVCsQLRbJozCAT1E32ZD9MZ5xxFtzXgk9jWbwSwkXLecTXmcqerna (2,1) (4,1) (4,1)
DVtgMErDuPoB56pxmoN2lg315+MZ5x-ymoT6MUiMnWZIBnej4MAmmbaGba (2,1) (4,1) (4,-1)
CNtg8cAXrnLJZACUmgP0jnFXx9EVVEKRBDwtveZI7HZoqn1DeMdmgIAa (2,1) (3,1) (4,1)
DVtg9IR1Cmvh2CmyNoPZATN7y9MZ5xDA360FGQiMfZKY7weW8e52Lie3Da (2,1) (3,1) (5,-1)
E3tg+YYJCmfS98vPfFT6ADN9ypFV79DFNZosEdvrmlo4C3ItIvsZU7Ieihq (2,1) (4,1) (5,1)
BFtg7sbLqSTITBpyCkPB62EXzTwFDEw04R6kIztCNaXmxsqYMfaaga (2,1) (2,1) (4,1)
F-tgMFrD+Q0I9DnhusLzlER-9mN7-E-71wWmCEE6Iy2apl2bSYqyxCMDwSweh (2,1) (5,1) (5,-1)
CNp4KYzHAnLJZ4TOKsNtk-I5z9EVV60+WBotveLH5fcSdiva3euviU7a (2,1) (2,1) (5,1)
DVp6NsPGojfBXIWUSs7tATN7y9MZ5xDYpZGZPViQDs8iTgSWzNDgyge3Da (2,1) (3,1) (5,1)
E3pm+ZjPqRfmoLwOT6X5Q2V99ExZ5+-QT+mfjEEqSXSZEYQ3UeicIiy7oLT (2,1) (4,1) (5,-1)
F-pgFZXCuFvBX+TxewP1p9+37nx39E-1TOxynpw7Ka3z3zG9iswiVlNrMSWDh (2,1) (5,1) (5,2)
F-xgMF5KsS2BsJ-j++T063+15nVV9E-T6pVJjdA8Ii3iVahyhiweWnjI2Dneh (2,1) (5,1) (5,1)
E3tggFrDu+eZ5FvR8sZx-MJXAD3378VVAxjmCnDrmBGNf7OhnWclUaHtI4S (2,1) (5,1) (5,-2)
zplg5cPCqi1s6KryLwPzBoFZy895RgKS0NOk1WkNXacUSIYYuj (2,1) (2,1) (3,1)
DVpiLrVCslxVbFDOLMP6RDJ79TwZ5-x3utOff9jWbwCHHwyWexCHHwroIa (3,1) (3,1) (4,1)
DVpq9ZjPq9oKwHZRngL5AfVXD9M35FVJVwrfopiwy2zler02bwCcDXfnWa (3,1) (3,1) (4,-1)
DVtg9cc9uDiRfJZzFI7x9DF55CNZ3-TBwCtxKQiMf3aVfbrqIsfRvXk1Ga (2,1) (4,1) (5,-2)
CNl4Ld-GshLAXHozSsN1Q9EZCnFVVMZhRq3tRe1C5SQiOiyGQPbmRIxc (2,1) (3,1) (4,-1)
DVtgMErDuogSlFv6mA716fNX5nN37VzZ7LmJMUiMnWZIzouraftJbXYkzb (2,1) (4,1) (5,2)
BFlg7cPCq7f01Mu5+wT7ADBZ4Sw-+pYPAqsFIQudRzk1gyakLJwBhe (3,1) (3,1) (3,-1)
DVtgMEV0piKAXAohmkL2AwJ7BTM35-wvmfNJ2ViMnWBe9OzZeT6oaKyaBb (3,1) (3,-1) (4,1)
E3tg+cA5rnOZZAE5KkVAFEZZzmw3797xNCX6ynvrmlUho7avHZrWS7i4Iio (3,1) (3,-1) (5,1)
F-p+LY-Nun2coPYzmt-y8wR56+pV9E-911xXeUOUIOMCIbkBGCqqNANbginya (3,1) (3,1) (5,-1)
E3pe+HbDuj2QXGpjK6V+QhNXE9M379RpDhQI7WXwyvnloicicYAgIIiaGyO (3,1) (4,1) (4,-1)
F-tg-Y6JCky7r-0kvAL2-wJZAE-77D-B9TQpMXkQIyw8WzhGglSTmaVzQDx5w (3,1) (4,1) (5,1)
E3pm+ZjPwS4m6N2k1pL3BwB9BTM7793ZY9thmCEqSXSZEYmybZOqSiUMgBU (3,1) (4,1) (5,-2)
GhSyWaS4ijrHXHPXbeeekcCQIQsdBtRJZ7R7771PHnQVh14frUrEbwtygnfS2kYUqHygk (3,1) (4,-1) (5,-1)
E3lg+cPC8jFZjB0xDARtk9IZz-M779x503MHgo6tuLA4cdIZM4oWSZkxUWM (3,1) (3,1) (5,1)
E3piLHVCsnLQ5DEiDsXzT9U5AF3Z59VRpMGvpk6tGdS4c2M2qtzYwZaWHdG (3,1) (4,1) (4,1)
F-p+LY-JuP2IfHXh8rV1Sg3-7SN-5E-VxkJ0h+HUIOMmce0AqDgeMzrfrBZCh (3,1) (4,1) (5,-1)
CNpiLbVCsnxJXEtQKFZvREJ548MZ-pxtLobL+e4alw7ewvkr0Sdsxrzb (3,1) (3,1) (5,2)
GhKyWaS4qrjH5rceCkkcIYQ6ceeltBJRZ777Z7v18UDgY00fXSbEJSZnJGfI7b3bic7oe (3,1) (5,-1) (5,-1)
IxKyqSazbXr5HXbRkBAtKB7YQYtRttK7tueeemmC33B-0aMPkvrmlUtG7G5CXgryzTbHaaQHg (3,1) (5,1) (5,2)
HpCGOyiS4iPXPHr65HAs6QclClBBlmJZRd8dmm8Z5FQktobL+e4alw7ewTLnKnzPLrKaBkf (3,1) (4,-1) (4,-1)
GhKyaSabIzkQXP6cJYktBJBtdmZQZZZdee8R77+1FDQMXcufXSyG3oiQisBk7IIa3Udsi (3,1) (5,1) (5,-1)
HpKyWiS44qjHrbkcIkCkl8ket7l0JZtBd8RR7d83FXhJKIYvxeZgir0T1G0CKz7SJSlKuri (3,1) (4,-1) (5,-2)
CNlg8cPCqP0QfDsAuwNvoxV5B9MR-V4z0qTK+evPgwtstnlm5AwHJvvb (3,1) (3,-1) (5,2)
E3p8LIX1wm-IjNuOTgLEk9IXE92Z79DLZFv5pqwrutMZuQwdaYc1nWo5clS (3,1) (4,-1) (5,2)
F-tgMFrDuP2RjDt4-tLt7nN1--M39E-1pjxDxiB6Iy2aplUvRvHBmJKX2zaya (4,1) (4,1) (4,-1)
F-p+KIzHyXxt6MqhDALw7n-5-D377---rYT62rQQIOmeXa2nx5ocrCd9wCO7e (3,1) (4,-1) (5,1)
GhCGOyaS4ibeSXPrcAckQIAAQsdZJJRR7de0773Jc+vlMyPpboWI1QOI7s0L7S4G4oise (4,1) (4,1) (5,1)
GhCGOyaS4ibeSP5XPIsBJkZ6QdKlJldZZZd87BV-2veoOyPpboWI1A6G4U7Ecc2QyH4ag (3,1) (5,1) (5,1)
F-tg-cAXCn17Z+YjTAZ5SfJV39N3-E-U6+COUzwQIywCNbXDWDROqCgfYnmcl (3,1) (5,1) (5,-2)
F-pm-ZjPq-1FrRsiEwPz99UZzD-39F-7hxpxaA98GyJzN9KDhrW8eeqC0WWfj (4,1) (4,1) (4,1)
HpKyiSazbXj6HXXPkk0kKkBRctdlKluBRZZ7deCB3FvvZmQsveZI7e4oyMOHBognuIcMlTj (3,1) (5,2) (5,2)
F-tg-scP+iwBX+TxeoLZRvVZ8-E-7E-+zzWzDvBRIywe2lqegcKBWcraiCGcn (4,1) (4,1) (5,-2)
GhKyaSazbXrbIXXQc8kcBltZ6ce8ceJRZ777Z7v9-ODuYYufXS4EbElmtnkiez7A7Iioe (4,1) (4,1) (5,-1)
IxCqKOa5PXXPruSXjYQcBIsB7sumdJRZZZ7dmmm8Q7pvRI-MavruggWSZGGChI4UAGZG4G4Ud (4,1) (5,1) (5,1)
GhCGOyaS4ibeSXrQrsAQQ6AY6c7AtdKZdS7Z77Uz2+WgQyPpboWI1AiAHk7UKzvTkG0sj (4,1) (5,-1) (5,-2)
HpKyiSazbXrj8HXXzkucBR6QJll0tJlK7BZZdeCVV3kcNPNsveZI7GZTiIWoWDBG7AgKYbj (4,1) (5,-1) (5,-1)
E3lg+cPCqPKFX8oOKoTvB9QZEUM3997t0Fqs9s6tuLAynjnvo4oPCcajsfw (3,1) (5,-1) (5,-2)
JFKyySWPPXHrzeQXzsASIYIA8A06AtJRZ7d0luuu8Alh1+MM+dufXSyMuE3IaOBqhqMv6a4AlId (4,1) (5,1) (5,-1)
HpCGOyiS4iX55zsAkk8sQkmZsZkBlSBZlS7d8d86wF94hKaL+e4alwlA6GxvYTjrimlSaGi (3,1) (5,-2) (5,-2)
IxCGOyqS4izrXPrumsksYkRZAJdtt7ZJtu87dmmC9N-qtOXnk6tGdS4cZc7ayoiojjKSlTdaf (5,1) (5,1) (5,-1)
GhCGOyaS4azjYjQbcAIAcKcm7ceBJtdSJJZ77B9vVr2EfiPpboWI1mLMgIaIwSlIOOXIe (4,1) (5,1) (5,-2)
GhCya04W4qrX5z6HQssc0IIQcldeCRJBdSZ77B7R6zUnyO2jbUZUZa7SZIQnYHKcNK0Gf (4,1) (5,1) (5,2)
E3piLHVC8jFZ1KqPmAR16fBX6T3Z799Kpx8Ifo6tGdS4ciIyQbHJvZszT0M (3,1) (4,1) (5,2)
HpSyWiS4qzjH5bsk666YAQAlmCBdJtlS7Zle8d8oB-rprQ0Oxe5gPExniEZUtPMiYcYbfsg (5,1) (5,1) (5,-2)
F-tg-cAHCF1J5Io5FALu81Q-C9+39E-1phU4oxvQIywCNa3btiXbOLcCgzqud (4,1) (4,1) (5,2)
GhCya04W4qrXHbS5zcIcuQAc7kdRdSBJZ7d8771FHg3sDO2jbUZUZaWrjSGn1Idzueama (4,1) (5,-1) (5,2)
F-tg-cc9uWhRnPxl2sP39F-ZF9VZ9D-T-FsrDZqQIywCXzNfaenSWqnDMex0i (4,1) (4,-1) (5,2)
GhSyWaS4ijrHXbSrckcScuY6cd8AtlJRZ777Z7vDN6flh24frUrEbEquRbxIrwZmaGWag (5,1) (5,2) (5,2)
GhKyWaSq5qjHz5PjcIcCkYcKY6kdldSJd077776HNhpM100fXSbEwSJb4gaytw1SjIama (4,1) (4,-1) (5,1)
HpKyiSyPbHHr5PXHQkC6cl8IcllulCJRZ777deCx13FrYmErveZIxfvSdG4CvogUlSlI4Sl (5,1) (5,-1) (5,2)
F-p+NsXCuRVA1+U30IP36MRZD9-V9E-9DDgKg5N8IO2jZQuTgOMDPHqCaeTDh (3,1) (5,-1) (5,2)
IxuyqSGOqbrCHPr8jcckAI6s0sKBRZBB7JdeemmC3Uw4YvZbh6tuLA4o4miLPklmWS7GyH4Sl (5,1) (5,1) (5,1)
IxKyWqSyHj5rCHjsCkssedlR6A7sJtSZ7dmee8l8RAB7EG6YbDrmBGNClcJmxeyIigJSlU4Sj (5,1) (5,1) (5,2)
F-tgNFbLyTL7XArO8l-0QfFXF++39E-1jNZlVuj7IywaHBr4mYo8ODaRmermu (4,1) (5,2) (5,-2)
F-tgMFrDuj26bJp5NA-w8hJ56-U75E-RVjUpHAA6Iy2apl2XWASzjkMc2frud (4,1) (5,2) (5,2)
F-tg-sAHCn17ZEt5psN2Aw--8Dw39E-1p1mEQ7yQIywSoCGDG0QJmdXfalbya (4,1) (5,-2) (5,-2)
IxSyWqS4ijrzH5j6XQsAslRZtm7luBJRlueuuem8-FCyPdsvnErKBKxGLmWTvOegWeLy5IBUj (5,2) (5,2) (5,2)
GhCaKOa5HscSXj6zQQAc6YkZsd8cCRRRJd077B352Q-Urcufrzya7IGGNisUhEyU7o0ai (5,1) (5,-2) (5,-2)
HpuyiSGO4iPXPzz6PABkmCZclKRlSBtJd0Z77d83pUFqkobL+evPgwBeKD6y4iyaGvcylIi (3,1) (5,2) (5,-2)
GhKyaSyb5b6rbQr6QcSAJZYQttldmZdeC777Z79+DTHiVsufXS4fiMlcAgkS3TvS4Iioe (5,1) (5,2) (5,-2)
IxCGOyqS4qeruz5XzscAtRI7IdRR7dSBtu0l8dm89BVzanfjx6tGdSynJndUzO1erC0UIrOLg (5,2) (5,2) (5,-2)
