F-tg-cAHCk4N5+tA9lRxQ9BV-T+Z7EV-Qt-2QQzzQIywCVaVfMel4UfqDgaGba (5,1)
IxuyqSGO4iPXrKPXr0bsmsCQkdtlBBtu8J7d8lmm8U-qfMA2pO0NOk1WAh0S9OzOAHeXIciGba (3,1) (4,-1)
LVCGOyOSqjb6PPSmsIAskA6Q0sJRmRZRSlSe8tCmKKK8wpElTm-Wdk0NahyXfMntCWzmq2fW7qZ2frCa (5,1) (5,-1)
LVKyOSazP0PXPSPXHHbkQQKcR8QuRSBBZ77dmuCKuKK81LNo2jI6FwQIywChCkRkd35YbSjXrsaqeRqb (2,1) (3,1) (4,1)
LVuyOSGO4aPCbYPzI6QeRQQKtt7klR8Zl0teSuSmCKKC-t25NSyQjK0NOk1WAOqTbQyw0UmTjxatBxKa (2,1) (4,1) (4,1)
LVKyWOSyHPPmPzHXXPeQmQCQI6Y6ktRmSlmeS8tCKKK8Q-cjoZC+8d6Iy2apz3fbrYcKBWkacq1maGba (2,1) (2,1) (5,1)
KNKyGSabIrjkISXXQIktJeRIImtZJuJleK077JuCCC86V8JEJHFwGQiMfd82jqyqDMDqZcOMjgerna (2,1) (2,1) (4,1)
M3CGOyWS4aHXC5PXSAYscltRY8AZ07BBleu8Z0CmKSSS8A-45zovuMrsFcCGfRzOWk6QzNKMbRCrS2DrCa (2,1) (3,1) (5,-1)
M3CyW04W4qXmrzHX8bAIYQIIktldJJZ7ZSC0KK0CCKS08-3iAmpud5zTtcCNDNbHJaaGbgya00cuqKlfQa (3,1) (3,1) (4,-1)
OhLyaTazbXj6bLb1zYskdRsR7dd87ZlStSBeneeDS8e18e9t+xVvyJfVXyQIywCpC2fQbxC2y2f2rPDqqZvrIa (3,1) (4,1) (5,1)
OhvyaTGOqjb6b1z6PktBlZcLRdfleDB77B8ZmuuSKeTe98C-x2RC8kwudk0NOk1WfM1MIaebkpzdfryxlQtieb (3,1) (4,-1) (5,-1)
N-CGOy4S4i5XXzs6ms7c7uB7dC7sl0Z78K8eeuKCS0S8089VD8kUrpibf9jWbwCbAWbNPUB3DrsvtKlgCGRa (3,1) (4,-1) (4,-1)
OhLyaTazbXj6HXbT6sslJRZcenellmueLSC8t08Ce1e1e98F7z72bJvLrzQIywCVa3fMexCoAHD3DOzV4myM1a (3,1) (4,1) (5,-1)
PpLyWiTa5ijzH5Xr6HkDYkLlD7BduJlmTluCSSS0mLm98ef9+C2BDJrLbJQTlIzdeUrGdejjsgfvuuaj52DuqjQa (3,1) (5,1) (5,-1)
PpDGOyiT4iPXPHrk9bkLAsQIcZBtlu8d0Rmfm100SeT8enn9N3Jx1aw1lNGsFcCGfRDcRafxQgBO7ayqQmyaQsnb (4,1) (4,-1) (5,1)
OhDGOyaTajHPzbf1XXbkcLk7YIRdfefKtCSKK0mKev800889BzEmnds6Bg0NahyXbgiGlPPKlhWaDxaa4aAhyb (4,1) (4,1) (5,-2)
OhvyaTGO4aHbD5Pb9sAAAtZsZIdnd9dmefu8dLuSC08S0881U2w89SaLzK0NOk1WAgkSy0WSiSjhdklrbuylCb (4,1) (5,1) (5,2)
QxLyqTabszQXPk6ctvJAZBBZYsv977tt1RBu1SS08CuT0ennD9-qMV-4u1jvGQiMfd8webeXHSzqz3DmkbyWf2DxKa (5,1) (5,1) (5,-2)
QxLyqTyrfXHHXrHPPrfkQsLc7sJtvKB0Jme8R0Ku9evnnn9e9BD9ZGd1Iu93IQiMfVapjxra4MaQD2eHbRcGcryaYa (5,1) (5,-1) (5,2)
PpvyiTGO4iP5XPjfk9rYIsdldtdKJtmSRlfeumnT08Smfff9U+PVI5uOMorrFIQudxWmWK9geGz3HQRicjDqC2Da (2,1) (2,1) (3,1) (5,-1)
QxLyqTazbXrb6HXrLQYsc7IsLYAJtRRJluvLCuvSu18ennnf9vTpdpd-AkBnLQiMf3bNAhenCcaT1SaLjjeNcGfgWa (2,1) (2,1) (4,1) (5,-1)
PpvyiTGO4aHzbkTjflJAIJRZR76dRBtBJZ7luS0mfn9e9mn9-KYF2Tvc4krsFIQudRzMYM8YQGDZnVXmBtaNnxPa (2,1) (3,1) (4,1) (5,2)
QxLyqTyrfXrjsTzcsTYssndJsZY6duJRtCeeKK8uTu90e9mnD73JXl09Sgn1HQiMfNaVfNbmfreuD3f2zLBtuZAt0a (2,1) (3,1) (4,1) (5,-2)
PpvyiTGO4ifjvz5XrcYAAl1Qk1kdRZdCl8d0mvmLKSS80efDV-mmt-niLi5sFIQudRzSHM0mWSsTbcuSA3BGts0a (2,1) (3,1) (5,-2) (5,-2)
RFLyyTWybPrbYzzADsBTYs77tldmlCTZ70Cnmm1SeTunDDfnv9VpFGV9hkIWPQQIyweHaVvPXwlcZkzL9OzLtMvrqbcb (2,1) (4,1) (4,1) (5,-2)
RFLyWyT4qrrjzXjsIIZA1tRBBtCCd80C988deD1KmTSCDfDvvD-9+ZlPAbQGyE6Iy2aVbKDgC3vwbwehyXchZsCGbtab (2,1) (3,1) (5,-1) (5,2)
TVvyOTGO4iPTLHPbkAcRndmtmuCRTKlST8J07eLmSLm1uffDLDL96Ux33FiObKehl9jQsnS2XgIgZeDWBSPWdpaUdbBhaWeb (2,1) (4,1) (5,-1) (5,-1)
SNLyGTabIrrQXHY6cRIfZRILfeeuBJ7RRlSl8JDSK90mfLvnDDD3MQ6FVp0OCYdOkIzrCUBbaqCoK2DNfX5itkYisGAlyb (2,1) (4,1) (5,-1) (5,-2)
PpvyiTGO4aHzbYPzskTIYAkT66knnBRJJ7lnvemuK0e188e9tXhFu+vLZkrsFIQudRzMQm1gfWm2fMn3jru21c0a (3,1) (3,1) (3,1) (4,1)
QxDqTOqv9ibzrHzXPXbkIQs9cttJtTJJBt1tnuS0K800mffn9pvd+5rDIIMxTRiQjZiaDR7wzhKKctlWAQca7gqScb (3,1) (3,1) (3,-1) (4,-1)
V-vy4TGO4izXPz6951QI69TtRdldCRJRe08eCuKmL8v988TvDLT11D-4UDRJW-GSdgrrFIQudxyGv2rPbdCo0Qnbi3PMahaWerGa (3,1) (3,1) (5,1) (5,1)
U3vyWTGO4izXXTPH5XnIAY96sZLBBJRt0lCSme1CC18e11LDDTTT9TF8eD2nHAXSwu0NOk1WfgAXAWjVDSywCqa2cnuseXDrna (3,1) (3,1) (5,1) (5,2)
SNDGOyGT4iHDrPHHT5bAsIITYI1AlRJd8tSuu0SuTmf9eDvLLD9FNCrgRWELYSvrFcCGfxywCjCgBwurCVDXbhKQupIG0a (3,1) (3,1) (4,-1) (5,-1)
SNLyWGT4qrjP5HPHfAIIR7kt7JfCKSBJ1RK1u0SmLK0evnLLDDDFF86lU1mGYHSPlIzd8g5wTQJUDM7QA3IiAcSg5meXDb (3,1) (3,1) (4,-1) (5,1)
SNDGOyGTqjzX5Pz65HIDQsJnR7lZRJBJLJLuCKTeLmLn9evvDD9xVzcFV8i4dwSqFcCGfby3fg5aCHbwCqCreRzq8iAxZa (3,1) (3,-1) (4,1) (5,1)
TVLyWOT4qPvjzPT5bkssIQYkll7IBdSRnSfSuC008CTvTnvnLDL97d7kEvOtQUIMNUiMnWBKDYarf2fqCI7aXmS0DXfxKaBb (3,1) (3,-1) (5,1) (5,1)
TVDGOyOTqjb6bkY5zkRY6cR1RRfRnRJRTTTKK0C8u9KLLfvnnDD9-QXMZ4hTlb3Gc9jWbwCHzxWkdosHzNCwGiqtCHbkRQBb (3,1) (3,-1) (5,1) (5,-1)
SNLyGTyb5rrITHLYcs7JQc8kluCmuuZJ0d9eCDefn9KvLnLvLD9-F6WEBBqJXsJOkIzXdNBbBqaj0MDHDrswzVBm5Ofhbb (3,1) (4,1) (4,1) (4,1)
SNDyG14W4qHXPbITILILY6YARIvBBt777Bum8SKmTKLv9eDnvD9DFvNKWVy-rmqTtcCNDN5wcnvvurj0aNfhuweqCTamQa (3,1) (4,1) (4,1) (5,-2)
TVLyOTirPfPzjH5bQncAsQYIYcRJt7ZtSlSvuSST0mfTnvTvDLLDpF44hZb120s3XQiMfHjWBXrdCqzUfG7wyZqUHulYQieb (3,1) (4,1) (4,-1) (5,-1)
TVDGOyOTqjb6HP1rAkskkQ1QcZAlRB7RtSDKS9Snv18CfDTvvLL9FToBmyJLMx+Gc9jWbwCHz3fweha3bZfYOuagaufWDGJa (3,1) (4,1) (4,1) (5,-1)
U3DWTOW1fPzHPXXz65jAIYkZfBJtZvZfm8du0vCe9m9u9CfLTTTL91U2n4CNrv2dpHUIOMmaTOiqXskJrhaRbgT0crCGbWfgWa (3,1) (4,1) (5,1) (5,1)
SNDyG14W4qbkYQkcILvIAlRYsdB7Ble0RmmCKDuKL1enfLvnDDD3o-vS68C0leqTtcCNDNrMzxkSXQWSbxCLnuaRyGeleb (3,1) (4,1) (4,-1) (4,-1)
WhEya24W4qb2jscAsc6boQAdgBttRZJJBueoKSKe2e28CvLDvT19199QB8C1zTtfkVtc1ojWD2DMfWzGfxzHmPDIAqJovifh5oaxAb (3,1) (4,1) (5,1) (5,-2)
SNvyGTGO4i5XrYXIksZYQYlBtBJDJ1RJmeSCuCKLL8e9KnLvDDDF5FCE3jw0IrqrFIQudxGqeXCgnOrgcdRG0gLgmfks0a (3,1) (4,1) (5,2) (5,-2)
TVDWO9ir5azzPPPX5PDQY6YRRf07BJRJ7lSTfKS08KmfDTvTDLLD-Hh1ZFoqxGXvxpi2y2DoqqC0losNf1bYzdabyrCqeqGa (3,1) (4,1) (5,-1) (5,-2)
U3LyWTab5rb6HPzIY1Q6cJJJZYnltZd8RKC0n0v0e9Smfn1DL1TT9UQt-jg9xgvDtrQIywCdChbaehRMDhBNfMblB3vncrCN1a (3,1) (4,1) (5,-1) (5,-1)
TVLyOTibbX5zHrkYzk6zkltBlR9ZRLRRJSSn0CmTvvvTDnfDTLL9EVJTKEYZaVzv0QiMfHnqeHbtKicHzNzGD3fwCqCWmkbb (3,1) (4,-1) (4,-1) (5,1)
SNLyGTyb6rrQXk6ctBdBkRlJTkJ9IBBJRJneCKCKT00evLvDLD9n11y91VRUiJrOkIzXbXDWbbyxarqRax5WAhCWbWBlab (3,1) (4,-1) (4,-1) (5,-2)
TVvyOTGO4iPTLHPbk6AY7QnS9tBde8K70KSC8lSDCenvDTfLDDL9D1+-fFQafOehl9jQsnS2XgshqmjHzgGqlSmYdXfadhGa (3,1) (4,-1) (5,1) (5,2)
TVDGOyOT4irPXPHHXbksQc7QQnBJRvBJRf8tCSL8evfDnTnTLLL9+1gml8txuX6gk9jWbwSwAqRqtbAvBvyOqHzaGgyGjGba (3,1) (4,-1) (5,-1) (5,-2)
WhEGOyaU4iPb2P5bs6bwAcUYcgtBZRteMC8JeemfM08evDLnT1TT99DxR+HVmLQuQN5ck9jWbwS2jSDgLuqaigDNkTKWebexKwCNDb (3,1) (5,1) (5,1) (5,1)
U3DWW94irbzzXzYfcZIYLZTtdmet8JZ170CC88mK0m1e1vLD1DTTDV27DE0sTCAqs88GyJzN9K92CezqcbJckx8UDmzJcoCT1a (3,1) (4,-1) (5,1) (5,-1)
U3DGOyWT4irzXPjIAcssYIsZIRBtlCK8ZTS080DDD190nvLTLT119-6rxRkhSYzbBO0NahyXAPexz1njCrcG1uacyZcgiXDtmb (3,1) (5,1) (5,1) (5,2)
XpMyiUab5jwbIPHAIYAk+kw6kU6YklwlMRZZdu080ufDvnvLT19T1fgEx9RyqoPl+31m3qQIywCXzhegSSnkvwJg9Qk0j2XaiuBxCPDb (3,1) (5,-1) (5,-1) (5,2)
U3LyWWTarzbrzXX5j6jAYLYQYnBtlZ7Rm09m090CS019uvDvLTTT96E5VcmhkZ5yTd7Iy2aHtseMcjlXbRDaBGsJktSiIacGba (3,1) (5,1) (5,1) (5,-2)
SNvyGTGOajHPHj6H9HnAcZQIRltmSR0CC8eDmfLLu9K1KLDnvD9979CPcttXQIzqFIQudhyGD1kP5YbmSIOgyGzrzvetJa (3,1) (5,-1) (5,2) (5,2)
