yhtg4Yc9uo3d3IyySwP2lTEVF9A+QevrmlEbEKiqwIT5U5ih (4,1)
zppm5ZjPqR2Y9GsOeMR2BnJX47k9tw88GyJzN9eypr35kAxcXb (5,1)
x-kg3cPCqSf01Kti9wNvl1E-RoRej9jQsnSMzQY2XwiJix (5,2)
DVp6LsVNuOLA5EsiuEVwCvVX5mNZVxNHNc3QRiQjNlgQICKyQk1eGLiya (3,1) (5,-1)
DVpiLrVCsnLR9CYi+wP6D+I5D+E3-3AdoXgf9jWbwCbBrBikVeaaUBrya (4,1) (4,-1)
CNtkMdhPwQ1esL2kpkL48vFZ5nF-TvFEylXde7SZALDBTjoPuigJQbH (3,1) (4,-1)
E3p8hsr1spg0bPvP0IVuRM3969237-REXjxYcDruRHdElQjS1c1mgI7kcjh (4,1) (5,1)
CNtg8YQXqmg01ICA1YRu81AZ69EF1pVrg-qveZIZm4C7Gbo4Uis3Uio (2,1) (5,1)
E3tg+YAHCmfSfDrPuAVETfVZE+E377TtD4vUfvrmlEqG3TGo6UaTlHOT4Gi (4,1) (5,-1)
DVp6NJALEpLBgDDR0oP2Qo3XBUMZF9+lo0doli2zNnOu2PwcKffeYeXvd (4,1) (5,-2)
E3tg+IzHAX3IAZuSutV7lFZX+DV39V-UEg0qvvrmlIqG7UWIvOyyJo4f5Ud (5,1) (5,2)
F-tg-Yc+CoLRnRYyuAX1-9N1BEF79+B185pYEiQIyw8Wb2DbD2DNfYdrarB3b (5,1) (5,1)
GhCGOyaS4iPXPjcceIQ6cZAt7cZBRtRRZ7d87+7RYkIuu0NahyXfSYMPis1cNbxsQ6YLa (5,2) (5,2)
GhKyaSazbXPrPXHXrkAQQAc8kddCRZBJR7Z77ERY8kSBvQIywCNa3DfmTqrB1jQyn8kYa (4,1) (5,2)
DVtg9IXGylvlcL06mwP0AVNX6nNZV655jJ5SQiMfrchyhRgnhd3Gaaaya (3,1) (5,1)
DVtg9csHsjwZ1CD68IZ2S1Q38UMZ-QFpG6CXQiMfLjOediSbNbrewarku (4,1) (4,1)
DVlg9cPCqRO71KYz0oX3m+A76+MZx7pw2Raj9jQsnSMP0YicmmaDMQ2fj (5,1) (5,-2)
F-p+NJA9JWffNPs9CQ32T1UV8EV-9+96-ZvGt4SGyNDwCser8qZGvKlrc3D2f (5,1) (5,-1)
CNtg8seYPZM7jRvmwM1x72UXxTM-FRppldqveZIZSdcHkcgYUbHecKC (3,1) (4,1)
BFtg7Yc+uQDK1Ms8DJN4BnFTAT+E-bZ9rOkIzXbN52ftA2iRIqkrna (2,1) (4,1)
F-piLXVOq-fR9FZy0wR6DgJZCTM39+1-LCdMdo0NahyXDWzqvJHmT2zxqneqd (3,1) (5,-2)
E3tg+cAHCE1J5MERKwP1mMRXB9U37-B5MgLRmvrmlUxG7atchE3AiSROHHk (2,1) (5,2)
GhCaSOaembrHzP5bYb6jkAIct7sllJRJRZ77BV6jsZoUPUIOMCIaQDKdYnRzkkt72LYnb (5,2) (5,-2)
F-p+NJA1sqxZvJt4DQR4RU7ZAF-39--pZXEix4SGyNDwthvR50AHnv6Oe3i0c (3,1) (5,2)
F-tg-Yc9uY2uwJ3OwRR3F+Z35mU79+R-53WLufQIywCc8wCSXYQwDrCMfRDLd (2,1) (3,1) (4,-1)
F-tg-sj9rSf8pPYk8MVuCnBZ6nV79+Ro-dFuKnUIy2ehCWCSyZPmLWJiaaaga (2,1) (2,1) (5,1)
HpKyiSyb5r5jcQPktBBIYQYQYkllKZZZR7leeC75+VcrRvOkIzXjWjNbTbXfidkW2z3Hqeb (2,1) (4,1) (5,-1)
GhKyaSWybPrHHPzXrkAksIYQYkdldKdSZ77776sJtV4RQQIyweHapseQoHSymDtCqerna (2,1) (4,1) (4,-1)
GhCaSOWqjHzrjs6jdR6ceSsBRs7AJRZBJ7777U6V+GmC4SIOMmhCGAGbrSgyGPIfGDHba (2,1) (3,1) (5,1)
IxCq84qzHjbsSrSjcQIQIQI6kBtlRJJ7Z77dmmC9AB3dYNsoli2zNTcutmNDNQufvfxCVDWDb (2,1) (5,1) (5,1)
IxKyqSyb5Hr5HHPPzkAQ6Qc7ctKBtuRZ7deemmCx1JpNb9xIQiMfVaVlltafqt1XUBgeXDN1a (2,1) (5,1) (5,-1)
GhKyaSaPHHPr5XHPXrAQYce7ceJJBRZBJ7777U+uBiV5rQIywCZKYDme2zW12Joari2Da (2,1) (3,1) (5,-1)
GhKyaSabIsk6PXXc7kBAJBZQ7AZceutZRR77B3-ULj-WaQIyweNDvdHBWrg8sCwSwi01a (2,1) (4,1) (4,1)
GhKyyaSibHzbQzI6zAskI6IBltdmtRRZ7d8771-JW2wKj0JyQfNDWbraXDrureqeebXqb (2,1) (4,1) (5,-2)
F-tg-sj5AQfmwTFPmJVzQ1Y7BU339--MF2uf6iUIy2ehepuJDNDgml5MDXfhe (2,1) (3,1) (4,1)
Hpm0i0Wi8qjPXPb6jsQA6clRsJZZZJRRR7dee8RpNu2dReTxGD2bbCGDaahehlYDhuHl15a (2,1) (5,1) (5,-2)
JFuyySGO4iXz85rkccASsRYAdBlBJRZJ7dmummu8v95pW+GgO0NOk1WArthCkCqtGH0zMfqCdLa (2,1) (5,1) (5,2)
E3tgdFjHARf7rTq68INxlo796nV37x-0Ttywk6rm1I3TcKggOs6iXHGziQb (2,1) (2,1) (4,1)
HpKyiSybXXrbQrs6IctlJkSQlCJldttZ7Rdee8w-B+OugNOkIzXlOChqvijIacisUK2LqCa (2,1) (4,1) (5,1)
IxKyqSyb5rrPPY5jslltu7QcBRJJBZdSR7dmum878Z8JlsvHQiMfNaTfZnn5UBtBgbgel4iGa (3,1) (3,1) (3,1)
KNKOW4Gub5PrkskYPcQ6cJKcB7Y7d0dSd8tuKuCC8+8JYQtNX04bID2b3i3z2aHrgCxA3zQ4mnxib (3,1) (3,1) (5,1)
E3lg+cPGsSM7bH6mnt3BRN3X7oVR9-xFNLamd6tuLA4adKev4oimOcRzlcf (2,1) (3,1) (5,2)
GhKyaSyb5zkcSXb0PQ6ctBtdRcJRlltBZ77776VEPU2qjQIyw8cChGOyxAxKQTkieAx5a (2,1) (4,1) (5,2)
