IxCq8qz5OjbIjkkY5YsZAttSJltuKRt8Zdem8lm8V+T8gqUvSwqSZUJf4H4uzE3KdSvmAvybl (5,1)
HpCiSOim8aHrzb65jYAsktBddJZRlu7JJd8d8l8VD2MjsJl2ve1KzaAnObsOZcQcMMXavwc (4,1)
M3uyWSGOqjb6HYQIsAJtBZdZ08dmRtdSRtuue0CK0SS82U-2AJpaguOprvQHlmlo4KlglErqXfgS7Gvig (3,1) (5,1)
M3KyWWSq5WuPzX8b6jIQAQcJBRJRB7d0luCKm00SKKS89A-CkGxdA80fXSbEwSdo4maIiSWcWiZbisGgf (4,1) (4,1)
LVKyOSyb5HrjQPIYYQCYQSsludtuZ7ZdK0BeKCuuSS8-p3L-GisUevrmlEbE3cZoybPHfIgvzmYEQgk (3,1) (4,1)
M3KyWSabszYSXH6cBZItJZZSkedBZRZdSteCCu00KSSC-99H7gkTPcufXSyG3IOI4ewvdeAylUOPagQTg (4,1) (4,-1)
OhDGOyaT4ibfTXrQjssAkQ6ABd7ctJBZ7tCS0CeLKe9888+1Go+dz8Hkw6tGdSyTgIwe6GBmaTKm4siSlmcId (4,1) (5,-1)
M3SyWWS4iXmrXC5zIcQQsAJd7QtJttBRZ0emeCuKSSS8Al+Vo0YGu+4frUrEbEWCjH4cJzJyufvTMolyk (2,1) (5,1)
N-Ky4Syb5HrjQbIAQcQIIQAdt77uSRJ8em0SCSC008K88-DRstcF1KRqveZItG3TyLMz2mlD3UrIHHwAeoe (4,1) (5,1)
OhDGOyaT4azjc1PzIscdTABBRldmJlKl0Ru8CKCK00ef98-vABfNdvDbs6tGdSyntzgalrWaJTfzBy6HAMeCe (5,1) (5,1)
M3CWSOW08iHzr5j6PYIIIdmmtRBtCRJRt8J0KSSSCC083-7Qy4aC4ODfrnzgdO2evv1aGbXCrMjKMbdyf (3,1) (5,-1)
M3SyWWS4ijrHXzcAsldJIZ7A7RtCKd0K0me8l00CCSSC--w1zBGKe14frUrEbwZEbnrONSXTaqiMyOdSj (4,1) (5,-2)
QxLyqTWybPr5r6PkJ6AsYYItdtTlt7t1l07luKuv98en9mn9TXXpD++rqzuvveZIig4oRz1jYA6S2aZabwwHxcqoa (5,1) (5,-1)
LVSyWOS4ijrHXzcQmd7QSIYRtJdmK77RKK0tSmmKCC8-XxD+bQirnErKBKxG1StiruMAHbWLOLOmGvf (3,1) (4,-1)
N-C4KOab5arPHbAIYQcRY66ABt7K7787d88muCKSC0008w985Uv0eLXvveLHkUXoOmrMbIkCRcPixeaI7Ud (5,1) (5,2)
KNKyGSazbXrbIXXI8AQRZYc8d7dK0tJl0JCuueCCK8V2-ZkuHjNsveZI7GZTiA1EJvPGHr3T4otjh (2,1) (4,1)
PpLyiTazHbPr5HP5s6sZYQZIdt7ZRlnCeeCumT0m9S8enf9+Rh17fxbuY2ufXS4Efn3cibZr5ilPZIXmdQbQqSg (4,1) (5,2)
N-Ky4Saz5X5mcIPQQcJAIAA78cdBZR7dum8eC8KSC0008w7Zg94prwdtveZI7HZoqE3AKsNzfocqaSiagma (5,1) (5,-2)
PpLyiTyb5rjQXIcdt7Qtl9cZc87lfmKZB0JmnmDS0S8e9e96Ep+UZPQiJkufXS4e4oyAMT6u6Mxv0e2GyKjM4wj (5,2) (5,-2)
OhTyyaTW4abrbDb9bYjs6Yk7Yclttd8dDKmumumeT08888Q-pav-aMJC88rK1MPfzIjDda4m7bkG7DjI4cama (2,1) (2,1) (5,1)
N-Ky4SicIrrsQXzA6Issl7eR6Yct7m7Z7eeCCS0KK8008xEPG-p+4MdqveZI4C7eiqeA2ShnOM1ozI4UZih (2,1) (2,1) (4,1)
PpLyiTyb6rrQXctJBRlTJdm97YtBtlLCu8lm8tmT08e98e9v7--ztmvKXiufXS4GZo4mYSRMZIln0meGYUWUGCe (2,1) (4,1) (4,1)
QxDGOyqT4iX55zscIktLtLdd7JtRZ7tBleueumu1uT8ennn9Qh9Q-hxshmaL+e4alwBy6GAv4C3URw1KaGWKaSlId (2,1) (4,1) (5,1)
PpDyi14W4qHXPjckn1AAsQkDdR7JBtJl9duKCSSuS08eff9Q-g7kN2XjgO2jbUZUZClLOUyzJPdTiriotqgbama (2,1) (3,1) (5,1)
SNLyGTyb5rrQzsQktslsRYAtBBl76RJneuCK18SKLnn9uvDvD99XBJv8U9qlPsufXS4f4TWy2jBC7vknaj3swE3kRTjse (2,1) (4,1) (5,-2)
RFLyyTyb5HrjcQHAsBBLQJllCTJtmdCde8BT8880KS0CfnvvD99MZ7DmJqATcvrmlobE1oyU4KdAioOrwvhS7qireae (2,1) (5,1) (5,1)
QxDGOyqT4azbcYPzIsfBRAZs7RltLBl0tLeSKCu08uf98mnD3674RUHctDGK+e4alwZKRAdORfvmqG1wdH2D7cYbg (2,1) (4,1) (5,-1)
OhLyaTabs55bQXzY6cdRI676ItBBuue0Rene0ef9KSe988F96zp0KI7AavrmlIZrYIiGiG7oAaim4GeUyrOvd (2,1) (3,1) (4,-1)
OhDaTOOaPzHPIcQsIQ6lKRldJSCu07d0d0l80eDeTS8ef9--8vDlhGbobxrutIbO1G0LumzuMbqfdI7ULv7af (2,1) (3,1) (4,1)
PpDi94qzjjkDk9z65AktZIRI7cJ7tB77lnvCmKK08Se98e9TSp1T9bF4uWzbXo7SbUWciKayjsOI7UlaAsayWaj (2,1) (4,1) (4,-1)
RFDyTOOWPzHXQY5IQAs8JdlRC0RJZe1S0S8KmCnLCDC9mvDv9+7-E3ukq2apaxrutIdO1G3CdEsDeKWuYgvOwE7a0Gg (2,1) (3,1) (5,2)
QxDGOyqTqjb6rYz6PksYsTABt9ZJtBJduLSuCu88ufff9mn9UZRYxCnZHzqH+e4alUWSMjfP5vzURuATiAtE5UZIg (2,1) (5,1) (5,-2)
RFvyyTGO4ynHzLPbIsAYIA66AdltJRBdee8luSK08evnfvDD9NoP5u9mNdjoo6tuLA4cMnej0admXmbafmqofCcbjvj (2,1) (5,1) (5,-1)
SNDqGDWa5qjzHHXjcIYY6cJdtdKDKS7uSm8m8eTmvLnvLfDDL9-9lZMO0qJfQdhBHv1S4G3raAteKngoJvduWqYr0vvLh (3,1) (3,1) (4,-1)
PpviT4W4iXHjn6XIskTBdeJ7cZJ7tt0JR0mSS0CCmf9efn9F9609XQjeoW4krn3KRmiLiU4AITGbcmbgfoQvWUh (2,1) (3,1) (5,-1)
