KNKyGSyb6XrrIPPIAAcltdZQ6Y6ct7RZdmuCCCu8vDW-1XS8iufXS4GdC7IjH4QtfjIwrlaaGWai (2,1) (4,1) (5,-1)
LVKyOSyb5Prc6PjAAQcJAkt7YlldK777ZleCuCKK8Ux7G1f9gNqveZIdoWmlwkm4QiSJgqGbHdjMPj (3,1) (4,-1) (5,1)
MhiqGOaPzH55HIQcJsYsJl7AZdlJJRZRZ0muCKSSS8Ql73NvOhSeKOT4wRPAvfAHoiAZa5GOQ2GzUlId (3,1) (5,-1) (5,-1)
N-C484qzjjckRQsBQ6I6IYIBZc7deemu0tCSuCK0S08E15QVxBeuWzbXo7Sbg4myPQOeTtI4UdoZIRnaSj (4,1) (5,-1) (5,-1)
OhDaLOybrX5r5PrQXHAs6QAd8JCKRtCKemuSKCuS088C9V-reQkATvrveLHNEOTgSgnaDPoursGNLrudwbcl (5,2) (5,2) (5,2)
QxD4aPO4irD5PzsIckZ66Ade8ZBdC7ZZ7RC8SC00e1mfn923f+ptjwfHk9ebmyIsOdGcGxOXzgcIbImRCbaPaeGe (2,1) (3,1) (4,1) (5,-2)
PpLOW4iLbrzrzjYzIcAIY6sdlZktRRJRtemCKKK808efD3uh2YxK3KTgpqSZo7ALDaoNogmuw0QPs0jcIAi5yi (2,1) (3,1) (4,-1) (5,1)
PpLyiTyb5zkQXY5rRJc8ll86YBu8lKRK70K088CKC0efD-pRVTXIfzOcvrmlobodoBA4IZgjwNiHb7wZTJkebg (2,1) (3,1) (5,1) (5,1)
QhiyGWyjrjcAb6zIYct6AkRk7cRJle0JemKKuT0u9ennn9QZpUKS9Mgh4qfwbew7rZAZoIaarZyerYcZqRL3TlId (3,1) (4,1) (4,-1) (5,1)
PpLyiTicszQXzttY7RQdKluKtBelmR0KeCe87BK8S0efDV-1FwU4GzmavrmlI4oimiU7mZgfnbEiaiKGCqieci (3,1) (4,1) (4,-1) (5,-2)
RFLyyTabszQXPkdJtKI0clRmCKtJBBZ7d08evSCSm1uvvn9TV6-Vnqy0KkqveZIbElcZGdPWoqeAMwHQzaILvgG7og (3,1) (5,-1) (5,-1) (5,-2)
QxLy4qTqPbYH5jkQPk6IAYc76ktlRZdStKCu8K8mf9mfn9FHhhYD2Q6mk0fXSao7UyPaHkUyoHoRHPqamRKgafGj (4,1) (4,1) (4,-1) (5,2)
TVLy4OTWqzjH5zj6rIYcdlRlluJlKBu0JSK0uSmT8evDnLLL9wVVO7XyuobZu1fXSaIaSdubniu1s1fguWSjIsvacWUfId (4,1) (5,1) (5,1) (5,-1)
SNDGLOWybHr5zXX6kcJAIRlmtJtR7ZZ8BCum8Ce10mvDDDv9129lBdtZeSjvvrugIya7yYo5O2aiUXfRzfalLcAgU7ol (4,1) (5,1) (5,1) (5,2)
TVLy4OTqPjXHrIPbcJtlR6At7l7BdmmKdCCSKSmnvffDnLLL9U9DaxF9cHAzk0fXSaoWo4U1U4GdQ6gtGZIyMzMiIZG2Ud (4,1) (5,1) (5,-1) (5,-1)
SNDGLOybXrjQHsBlZl7BKedRem0SBRJ7uemu00eDmnn9uDDD9EF-21cLeYKcvrugobSdchbLm7U7MKf6rin7odqiogUl (5,1) (5,-1) (5,2) (5,2)
RFLyyTyb5PrjkQrcskddZYsBddm7JZRJCSeC0K8KSenvvv9Qp3SUW5nHDkrveZIxG5obCIIMK3SiyAM0GlARTvI4Ud (5,1) (5,2) (5,2) (5,2)
