RFLyWyTyHj5zHrclklBkRsRIcBTJBJ7dCCfCuSSK08envvv964DR2OFRan5GUiMnWtUfHzq6czdejvtlmLukcbqeGba (2,1) (3,1) (4,1)
TVLyOTyb5PvjQHc7AlRvI7YQ6dStRBBBeKevTmD0880efDLLL96-vHApZ+IqoJOkIzXdNDaBKlw4wegAPQamoKqdbkVBx5a (2,1) (4,1) (5,1)
TVDO94qzPncQLslJ6ZZRkC08SSeRSBdSJJZdmmufDnLLLvDvD9Vh+-VuXbpanIZcID2zXzgeNDZA2DWDYSSQQb2eRbXXKsa (3,1) (3,1) (5,1)
YxMyqUyb5rrQXQdCueZAK8SKBvoSLJ17t1vvKKvML018fnfo2TT9no+VU-3p3ytliqK0eQIywCW5wmJcZnr4MblCaeWzqTUBquveTqnna (2,1) (4,1) (4,-1) (5,2)
ZFUyWyU4qzHPbksAsttJRZ7RtCtCZeTeKmm0SunnTKfvT9fU1ngEEwwEVBlVFLBGN4aMAy0lICJuVBaehy3zHbMzayqXeQSmcjfSSladH1a (2,1) (4,1) (5,1) (5,1)
YxMyqUyb5rrQX5PIQc6YctRdd7YJR7dv90SKTTCnD19vv29vgooogg+7-P1wkOSrt7MufQIywCc8wuSecb3cHcm8myulkeluXDnyLDNlb (2,1) (4,1) (5,-1) (5,2)
XpMyiUyb6XrrQPjQkdRRId8klglMBKJ8lumevKK8CvDfLTLT999fg+27sB624VegMLhIQiMfpCGBfiNzXertlzL9aq2voHGnX5OQu0a (2,1) (4,1) (5,-2) (5,-2)
0NEWG+4irbzzjIsQclRYsJZkuutte8R7Zte80mTKwf9CLL+T1fowEEEw+vDJ7QmFVyLfpGeppi2y2zpz1DYDorqbwIamMe3aIyh0ecufry3jb (2,1) (5,1) (5,1) (5,-1)
ZFMyyUabQXXPPXrc6cRIQJJtudK8lmKm9CDCv8CTu1KDwfM19Dowgww+1pP-RDgLsMmoxfOkIzXaNDgeMew025GqTfaehq0mtur0gAMDj5a (3,1) (4,1) (4,1) (5,-1)
ZFMyyUyb5zkQ5ItR7JsemBZ6cBJuBJZZ7e98mL0m1vDM9D+1Tvggoow+353YdPV-kzHidtOkIzXbNDX0YdvexSsYadnawDhDH6IsGCxqY0a (3,1) (4,1) (5,1) (5,2)
0NMyGUabIwrQXjdBAI7IwtR7cZ6JJZBBZJm0CmLufvn1TLLL9fowEEEw+v1NZjv882VYG5uGQiMfdChegu1vUZWbbfPcxiq0svbIiQqary3Pa (3,1) (4,1) (5,-1) (5,-1)
23MyWWU4qrjH5rc6k7IcZYBtCm7JJt8dmLm1Cm1KTv91o2L19nwgE2MUMU+A-+c3vI3NqnlcHPPlIzd8gzhToISzgvxKMCOjYAJDk5g1mme1wewCb (3,1) (5,-1) (5,2) (5,-2)
ZFMyWyU4qzwjzz2bsIQ6sZQdBlZZRRJCu80Sun1Kf1L1v1TDf+nwgow+1+19jISQLAurO5PlIzd8gzNA210v2acTKBGrw0KKUjaewdnen0a (4,1) (4,1) (5,2) (5,-2)
ZFMyWyUq5qjPz5rkA6rAAYA+clBUBCSC0emmvf90CT88CvvT99ngwow+oL93Axgqjl9kQSPlIzd8S4wdgLwcrXUjZZwnca2lMGUCGAtGGCb (4,1) (4,1) (5,2) (5,2)
1VMyOUyb6rrkQXkIsBllJdZk87Z000ZdTuKuLuLLSnf9n29LvogEMwUMU+N7z1E18Mqzll6yeQIywCMzhfte2DSzZzaehCHTQBM1aj3lrcwkVmb (4,1) (5,1) (5,1) (5,2)
3-My4UWy5gHr5jY52zAIkQs7cBttRRZJ77lumKmvTvnE9LLU+DwgwEUUE22E-VQftatT6EdgNtQRQiMfrmWBxlVJw6IqMDbaLfwAOfxCud2kNAUDuWa (5,1) (5,1) (5,1) (5,-1)
1VMy4OUarHXPzHjkAsQ+Q2QYAtRJtCe87uCe1Cnf9CL9T1n+fowEgoMMM+U+p3heYkI1lXMmv6IywaRz3bPKMDGfb4sagywQQdWeV7UfayxOqCa (5,1) (5,1) (5,2) (5,2)
1VEO+4qzzHj5rIjcBQJdlltmCl80lv9dCLLeLS8SfvovDEEwogMoMgwUU+-DFPADD8GQmGmk9SGyNDwacC31gylth0MbwyMDpGOqWHiehZ0rhlb (5,1) (5,-1) (5,2) (5,2)
