-cabhiHbaluibIglG8yYejtIGXYfrH+yIeNoGaLIvkGatHcOlzZw5sgRAZQr7fmG4Yz7gqG22TtxVE94TZ3VFRpVDD3Zp4jUz0SajRIuXveZM4eioMzXIMfdQ7GGQOP1E4OhAiIIz7EwqkH4ieUl (2,1) (5,1) (5,1)
-cabh4adapCiHcelweHIeizSOrdhmz40X0OtFagseqsKArc1juNC9c4kGWIntwmyVKvBhoC6YTt3pE8+5d4pG-VwdK-X2+W99byOjtqINheBm7SNS3o5iuoMrPsaQ6Hli5GKSao4idk3Ibqvueod (3,1) (3,1) (3,1)
-cbbp4GbbnCWWbfmC0icKGyMubuMGyi9rKixFuvcLRxVGf8MnC00DZwWDTy1Zfpy1MjdxTC1YHZNVG-+9dyVGaF37-N7Tcj3-aKveyYedu7Ka3z3zULsCwBKDX7wyYbvTWPY1Q1kO2ZikZ4uueehSm (4,1) (5,-1) (5,-2)
-cdbFiHbdlSaXdfsAubILlyYqHtNmxSGbdNHFggQvjsMyDI1jy0wTQMRw2go0wSzdNnBOTB4YLlhUD969ZhWGcdk8QTO737EtVCferVuCBKufQIywCc8wCkaYTgKwex6mZcrdlamc8wLikYI0DhB1cbyblb (5,1) (5,1) (5,-1)
-cfbViHbflGyrrenu8GrJIsIePifjwQuedhnH+4zePsSw1sfQuZsrt2nzSC5kMTy20PJhpE7U1lNVEa9feyrHchwKiXTV6tN36PUIjdzkIm6Sl5AQIywCpCUfQvvcqQkusmXSa12fxC2kf8kshz3rtzLzHdmb3f (2,1) (5,1) (5,1) (5,2)
-cebN4acfgqSWHepC4yIeizQyXJMnOgnI0NsMor8KPsUGv6LlsTErKirwXQ1Ywmy2MrZ2TB5iQJ4oE+617hWGchoC4vFwX7Fvj-l-xtreyihmGI+e4alUam4GBDKwZoZuQGHyWQdAMfOwjzLwWDOSbK1DiU7a (3,1) (3,-1) (4,1) (5,1)
-cgb3iHbgmw4Gcfjy8qYeJqSm5cfJwmQXyMnKefsLRqTqvY0jtNErBvSA0O1AMTA1UzBwoC241Z3VGa5z0OWHchsSiXIxF9yAh9Bxw3HkIaNEAhcttxeZg4nYoAfNzYa6ftmioGCiguQfTaGGSZEBuhoWjjoWmiIf (3,1) (4,1) (5,1) (5,1)
-cfbViHbgkw4GcfjySyXdisOKPiNnEYiAtroD68PiOtfrvkLPwSKPcgTxUEvZ2nAfLvlxXC++TJNUEadkeyWF-eoKiX1-XRDS3OMboT-rPrcjjBA6Iy2aVr2XYjqyMb2zNk0yhCufXugYSvKfpjrm06sC0tdcad (3,1) (4,-1) (4,-1) (5,1)
-cfbV4acfguSWHelu4OrektGmrYekwWKbZMnD8usuivRsveLRxfzTAvRw1GbRwrA0YHR4TC+8bS4pG969dOpHcloKiX1-RL7G-DGlz1GqQQtBbBu0NahyXfMfwbuIOipsea1tUda60kgGkOQDWbRijSgaSvtBrd (3,1) (4,-1) (5,1) (5,2)
-cfbV4acfguSWbemwaPbfipUmrtLpzkHQKhxfbf7KmtQmPQgRu0svthSxfFbRhnz74DlhUI3WveiVI++vmOWHajoCiX3QF-Z-oW+2IMkcuKkwKsK0NahyXAMPSXmGMC27UbTb3j2y1dKixaMztu0mXb2QwaqCae (3,1) (4,-1) (5,1) (5,-2)
-chb-4acfgCSWHeoE8yIeizQGXIOpAWSH0rpScDuvQy0mbdLnvPQv7imy3K9s3lE94PJMUD5o6d3UGbd2Z3XHcpsSOrJgV68N6F5f-ZJ4gfATqd6GbO0NahyXAdthuR7imfBIA2K2XGbSyR7ODgfXrlDsyRPkIMzxeh (3,1) (5,1) (5,1) (5,-1)
-cfbVOGbflqOGIeqE44rXItMO5cMmMkvcuNtRujcfltVGvSejw2ODJwRBUCrdgSI189R2oB5YvSiWEa7nm4VFbfsCiX73t-v8-Oc+YpGpqg1fedk0NOk1WfM1QzNJOzRbbfHjLyMvqCrRkkce2faQQBtew5Kflc (4,1) (4,1) (4,1) (4,1)
-cgb3iHbglKqbchlEWiIelpMiX4flBmcsdjpD+C6ektIw9sMXuYqHYOmxWyrZyTzX0LRxoB6mYdNoG++5RxqHdjwSyrIVQ9XFfMT9VquNwgfU4HuRyveZIWe4b4OtU4yYC7Lew1GtHqzgflchIdbkqrTJowsiI7og (4,1) (4,1) (5,-1) (5,2)
-cgb3iHbgmwqXbfoyazcflsKS5IrJyU0jZhoBi9b0jrRCLcNrC1U1s3oE9m+YOpAYegSMTH5ccCNUCg5XRxqGeboCyXI79-3BX7YhcIyKok5RQbKrtxeZg4zXohoGGar0KaHIjWbdn3C6ahItMyjccqkuksz4UAGi (4,1) (5,-1) (5,2) (5,-2)
-cibhjHbilGybchkGWWbNmt8C5IOqBoPAtQoOw1IfjziPvcMSz4sHd3UyiFXBgpK181J2nK+e2dyqDa317hXHcrISOXJgpE137J+D3MP+Oc3rDWObqjltveZI7f4TWGWrMoiTlDNaZC3rOc4IdMiKqzyP7q5GzTeEjSGL (5,1) (5,1) (5,-1) (5,2)
-cgb34acfgySWbejy8Wbdkv40XtNlygjAdNtPu5QLiJgHrcMjzNwLAfRxgFDdNXCYOzRNnFabcCNoEb5fmOpJchs0yXIBTFF1CS2hB3hKgn0dGbnQK+e4alwtUvKWaWmBDtfJSZKZy5MbOQwaqzfdCWadUZK5o1Uj (5,1) (5,2) (5,2) (5,2)
