WhEaMOa5HskQXHsQ6QcJZZtSRBt7Z8dmKeeDueLm9uvDvTL199996tRN-QvPaRVrcufrzya7iiquoemOcBOgnhDiTfrlcYLWD7kh (3,1) (4,1) (4,-1)
YxEqMOizbPrbIbYXbBAZ6YluuBK0e9mfeK1111ST89vfwn9DfUngo++F3PzJPkosyMMkvrugwta3Izs4oruaCcr3CzTWarTkUJbcgcse (3,1) (5,1) (5,1)
XpEiMOa5rrQXPcldcQsJRZAtSSSCZ7d0880SLKDf9uTD1LT999fgE-FEW78ItWR4mjqveLHbSdaaIjPxnlm7o1S7P5oOiwIYuRSNal (3,1) (5,-1) (5,-2)
YxEq+GOWjbIPrQYY5sBk7lmmmdSZRJJKZd0SKKvnfvnT9fg21noog+-PBfPw7xrkwAYaDruRH4TaOiIfcqS7G7H7beOPS7bsvWENLrOg (4,1) (5,1) (5,2)
1VEO+4qzXjZrRCKKc9c7Z7eBvBJnvTtDCnDnDu09uv+CEEM9ngg+noMME-F3G-F3EPdifcaCwqSZo7olm7war7aPGiKlUhrjnRs0sRf7qOvZal (5,1) (5,-2) (5,-2)
Yxg5iP4yjrMXjQIYc66slJkZcCZmC8tmm8ueDevLD9m1T9fo21fgo+xTD8FosOw4hPMipqmiMuuLotMrsZfek2eZPAe5w0IBMdIiuNgi (2,1) (2,1) (4,1) (5,2)
0NEGMOy5XrrQHsYcllQsJZcmKKKu8t0dmSuSSCvDnLT99Dn2n2fowEEE93vhBv3neTQAMbrveLH3m7aXmaikmWrWaXeOzdOXnRy6EWPKUcUl (2,1) (2,1) (5,1) (5,1)
YxEq+4qzrkY5YHAB6d0RJSuellBlnmfeKv9STK0CDvLTT9f211foo++5-FfZUWQrfIbCwqSZo7m7Shi7U7ojIeoQj3GgrzU7cBsJqIel (2,1) (3,1) (3,-1) (4,1)
0NEG+4qzrjbQHPrctZIJYRduBBBuKJeemK8m8SS8uTDL99fow29fEEE+E1Ny8VE4XSbutHNfe7SZUbU4EWUeoAnMoyOLSRScIsPHwZcWsjma (2,1) (3,1) (5,1) (5,2)
0NEyG+4ajHHPY5csJJIQd0k0lu8R8SRtf0CLSL0Cf9v9fEn2TfogwEEEFVVSEof6fDjNabope1o7S7o7KZU7c4Cta2i3S7biHvMvkybKKxci (2,1) (4,1) (4,-1) (5,2)
23MyWUizbXrbIbYA6kJQAsZkdtBt0lCCCen1uen9CLfnTLf+1nwEMMMUUEx1Lx9oJSkzDouQYufXSyDbElmJSyeWztSeOgC0IknqTcabnQcacdSg (2,1) (4,1) (5,1) (5,-1)
1VMyOUiXqbHXrjsYjQIAdlte0J7meT0eCLTLKe90v1m1ngMT999vEMMM+Q-43-NKsifjCct1vrmlcigiAJzMyZrZqOO2u1A2AZi6C5miiNI4Ud (2,1) (5,1) (5,2) (5,2)
0NMyGUabsrQXrl7bAdJlJR7AlZBZl07deSuKmTef9CvvT1LLf+nwEEE+Q5B6MRFlYCEWmkqveZIbUdcdM5k7OtIuIhI7UbM3f2TcyMHiUlId (3,1) (3,1) (3,-1) (5,-1)
23EWUOWirHzrjsYzcIIAss6ctBdKCuC8mCnv9eTK1fTLTDnU9vgEoMUMU+A7+0+swHqL4DQ4WzfrnzAbajacuwvdaMS2KdQ5i0AgP3arT5rfs7Ag (3,1) (4,1) (4,1) (5,1)
1VMyOUyb5rjQPAkkJRlRcZktCdKRt0ZtSCmmL00e9enLL99ng+vEMwMM+1EQwDZ7AMxilYOcvrmlobUdoMneD0I6PJfwsikikYwvrHIdIjaWoa (3,1) (4,1) (4,1) (5,-2)
23MyWUab6r5bQXzY6kdJcCCCKB7ZSRR8RuKv8m19e2T9nwUfMDEowMEUUEV3VSzEDuNWikTRcufXSyG7UcIkIRbZUZgRLzusTgIkE2ERLenwcQIi (3,1) (4,1) (5,-1) (5,2)
3-My4UWybPrbArQclkIA7kud0m9R19JTKCu8fU8enEUMvo+LwE222gMEMU+F-tDZFfnmKWdfkvvveZIie4TBULAleggka7cHElctGgoGn4sYG4GKOg (3,1) (5,1) (5,1) (5,-2)
3-My4Uyb6HsQ5QjtBt7dKd7AZmZ0dD0lC8CeD9fEvnoL9foo2TvEMUUU22Ex1-7rQp-sdWgldJqveZIdo7G7I4a4iHjizWCBsgT7otgyrYArGiS7aj (4,1) (4,1) (4,-1) (5,-1)
23MyWUWybPj6zXPY6cR6RZAlCRCZ8m8lmvCLfLCL1mnvf29fwEEwMUMMU+1J35pPUZSrmOrdvvfXSicbUdjdGJnYsknjUrelnYHIuYn5O4UdaiUf (4,1) (4,1) (5,2) (5,2)
4hNyaVWPPX5rbQX5zAYII7kB7RtCKl0unnvvTK8fTDDLT2vgogoMMME2U++E7-70WBIvelxc6z+avrmlMjLWoieJgiGiS0s0eyv4GRAZnjueSlSRrWce (4,1) (5,1) (5,1) (5,2)
5pNyiViXqPH5rHAcBsA7sd8kdtSdKdu8dfnDunTCvTDf21Tf+LowEU2+ghh-+v9oEtCVu2xLGddMrxfXSiGaoanlmRa1StUyqXUJDjg2G7MlGecwvaaWaf (4,1) (5,1) (5,-1) (5,-1)
5pFaj-ir5GX555PjQk6IARctZt88ZvT8SDC+vLDffvDLf+9f2vwU222U+UghF7F--fLxGisogSexX6bXcZUJTio1GzKdEkmtHQqaEfLxr5UeUNfxQXaRHi (5,1) (5,1) (5,-1) (5,2)
