-b--Ny4Vyb5zkQ5NRd7demvttT7eTJ7FvCmSLCC1K1D2T1TvvDgUgV+M+xpp-gFFFN-V33F9-0lZVv5pF1fmyjqgkrveZIxG7aZk4S7DlE0yqLtsyLRmerICbQBnheHQrv6Ie (4,1) (5,-1)
-cdbFiHbdlGacdfrA4GILlv0SHtfpIejsZWoGufc1kuQkz60RxYGTQLlv0EnZfTBdNrZ2UH4g2Z3pG8c67hqGcfUVn9YL6+o50tI8kdJQzwGQiMfd82bafXDQaYDhBGrGs2JiI2jc5GaqDSCZ8OOMvRaqe (2,1) (5,1) (5,1)
-cebNiHbelSaXdfsAujdNqtezzePnV8K60SqSQLt3oINIjtMmvRAflwlE9+rdMVFadsZ3TBdX1JxUD7ek8xqIejo8--5F9N-Sc7PGdeAOqiPsufXS4f4TGL7OlE3kXLgHdU7TZkiqzMwyibtoyy1ovHYzAUe (4,1) (5,-1) (5,-2)
-cgb34aJhoOyrIimC4qIgkJU85sPpzqPcKisGijI1kyJmjJ2lx2sDRfRw4SbRMoA4Yz03TC-cYJOrIdfc0yXHcfo0yX-+BU5dZT38YXjgVgbrqwWzbXo7SbE7UJTZTtIZyYP3PtUOTioiGbzawwbqUloYo3D7G4q (5,2) (5,2) (5,-2)
-cfbViHbflSaXdgkG0GsLlAQyHtLIGYqItNpQwvS0OxMErQ0RvWsHA1SwWAvSynBYMTJ3TC90jCiqEb99dyWGajsK49-6GZb7D9N7a1GVGzezwIQiMfVaVDatZjbbVvWf2rWadI2CKD2sQjqdPCObrWsTkvJDh (2,1) (3,1) (3,-1) (5,1)
-cibhjHbilSaXdfrAmrYKmAImXINmijX5ujqNcjcvirPqXI1ktNsHmvlxYEjtgSyXOzdNnD70bKxWE9acCOqIdjE04rKi-YoFXOMAVCB+t7XmqRqoJsufXS4fOmaa6S7EKnXLhSJaioiAKU3EeMMnZHvQenlSMvPafsGa (2,1) (3,1) (4,1) (5,2)
-cgb3iHbglSaXdfrI0OcMpxQeIegrA0KruhpTybQ0RyNu9Q2PuQyfdMnF2MzmyUG3WvJNVF++PB3qI9ac0OqJcnwSyX7-6-F6bwCDmoy-IzGGOJkufXS4e4obMzTzo7Sicwm4y6uOSgMumJv4ibauyryvHyGJG7o (2,1) (3,1) (5,1) (5,2)
-chb-4GJfkyqrcglu4WrKlw0WPJMnJibYJjrh-C8JkuUkHQKPtYErRwnAZIvJ2Ry76Dl3rD789lOqF-a2B4qGelE0OrJ36VzZl5MNAB42vmbpyalhoRiQjZbhOqewegyYbisXJiCOWQAjymBxCZdqAH1cenBjyTDrCa (2,1) (3,1) (5,1) (5,-1)
-cjbp5GKekG4HcjnCOjdLnH+acvkvDqjQehyZAjQLOrYKvZuUKjPXkglxZ69QxSA1SXJNpCctUJ4UKblo0iWHcpASisJhr+UFE78PF9Io+rQ5boa5GzsGQikddyhegCMkQD2Cq0u00qhlv8Wfx9kQoPMdNDG1Kii5IDw0se (2,1) (3,1) (5,1) (5,-2)
-chb-iHbhlGaXdfqy0OcfkwYacJhrM4qQZNvNA5kKPsMOnR2lvR2r72Sx64Hl2pz5Yj03VE4oEe4oIdp67yWGbfw0OrJx-p-BM+lJACTe6PdazmZuKQiMf3a3bHbPCWnIbVfgDhKmfh4WDdkQKSBRzHmJASzqATCx5a (2,1) (4,1) (4,1) (5,1)
-cibhjHbilGqbIejy8asLjsIC5YMpE6KruOtSwD6eYsOufdjmwWYbBxlxiTXJMTB4097gUD+ekuxWD9goCiqIblIKOXJhx3++Fx58tjSOEqXOHQSWKlwfXSOmbL4nzU4niA1o5o7oJiHihkwIZauvNCeMcDfT6qjSWUic (2,1) (5,1) (5,-1) (5,2)
-cibh5aKekSaHJjrACztKjA8OrtOlMgjItNoGublumzRM5kfTAVW1IfVD4GHZ2Uz54PZMoBi-bmirJfhIeisHipASOXIh-7p58V9uvZ05O5cILhrKrkufrz4eWoyELsejBgdQej4qZQ4PdadkxHlkMUuH1MjfdMzTZi5c (3,1) (3,1) (3,1) (5,-2)
-cgb3iHbgmw4Gcfjy8OXJhrKmXcMmEafstjpOafYLixKoDYKPvSC1YgnBYIvZiVD4UrZxoF4+LZypJ-g+tiXIcnoSyXFDl-59O5K47MWGdHktYY00fXSbEJSZjRo6wczNmNj7IimPQYrAoZjZK3f1OvLufyc7cKC (3,1) (3,1) (4,-1) (4,-1)
-cibh5aKfkyiHcemwO4bejrGCbJfKF4KrZOoEuHCLixJkzs2SyXSDlhlCW0bJMqHcjgm4WGdb+lhWFa-5RypJhnw8yrKi-39-h34q1WAJYky2cyOXWZzfrnzAboqoWI7a0CwTeTZblraG3GyMAsgmqaND1LufvPPjtcPa (3,1) (3,1) (5,1) (5,-1)
-chb-iHbhlSaXdfsAujdNqA0GXIPoNiTrKipNyDkKlvYCzZ0TAVw9khUz4YbJxSBXM5B3XE361d4VJdbEmOWJelo0OrJ3638N8-7KgzOxTzmJecjvIQiMfVaVfS0gdpeYH2zSunslkVvnbLJSDJeLAMdGzbeZ7aWGba (3,1) (3,1) (5,-1) (5,2)
-cibhjHbilGybdhnuaHbLkwYmHZNpFWestjtQsrAKmyLo16fSwUyTI1RDVQrtNVG9qYdjoId1Td4oIdfw8hWIblAejYJh397-2TuU1xvOOGvWlfrj5SufXS4oZm3I7wuGioOsXmHy1slckAfAqcek6myGkrxcsPHoRUib (3,1) (3,-1) (5,1) (5,-1)
-cjbp5adjpCiHcelw4iYeiyUqrtNsM+WjzYuKcjcvRyYMXYKkv2w1chUxSEz7Mmz8Ob8wWCdd2ZxXI-mESiXKcjsmjYJhr++xF2jp4-tnQOBCgceEmKeppi2y2zpzpDHfVchiq9UtXDja3nmykKSiKt3ydehIMk3faGOvUf (3,1) (4,1) (4,-1) (5,1)
-clbFjHbllGybchkGWWHLmAM0XILqGYiAdQtJufAfjvWOjB2YuOwcRLRyX4HZwpC-WvRxVF80bSOrF+igSyXJdrsm5YJlrQu5+2-1I1ZE4+LyhWkHNXiIswMQiMf3lWBHzg4iRsHubH0kkUPGjOdHQqCgC2HiAWPgH05WSWArei (3,1) (4,-1) (4,-1) (5,1)
-chb-4acfgCSGIeqEajIdjpUePILmxk5X0jpPqfsePwTE5Y0jvQuTY2TxWI1lNUFaRb8xWJ4o2ZxVFa5jCiXGfns04XJ-S1-9JPgPFy1Ctcgqod3Gc9jWbwCHzx0KcSJMvNmXbfQ2fKJYdbWkRMv1dsdqmPOSzxZImb (3,1) (5,1) (5,2) (5,2)
-cibhjHbilGyXdhsGWqcelwWCjtLpAYWPKhvVgrYuTt2wXkxlBRUDdhsE0MjdzSE8q6t2pG2WHB3oHi9fSyXIehkKOXJh3+5MVE--fBRcHWqteJRKXWufXS4E4Sda4DRnhTaPjD0Izy3ofTtGtMemZqaC5IlKhmqSBylb (3,1) (5,-1) (5,-2) (5,-2)
